"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"19","ESV_000008","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","OCOO-D (30-40)","",45,100,17
"20","ESV_000037","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","OCBC-D (30-40)","",11,100,12
"21","ESV_000051","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","OCBC-D (30-40)","",10,100,4
"22","ESV_000076","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOC-S (0-10)","",8,100,9
"23","ESV_000258","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, ","BCOC-D (30-40)","",16,100,25
"24","ESV_000258","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, ","BCOC-S (0-10)","",19,100,25
"25","ESV_000258","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, ","OCOO-D (30-40)","",8,100,25
"26","ESV_000330","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, ","OCOO-S (0-10)","",36,100,1
"27","ESV_000397","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","BCBC-D (30-40)","",10,100,5
"28","ESV_000561","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured, ","BCOO-D (30-40)","",12,100,1
"29","ESV_000629","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","BCOO-D (30-40)","",10,100,2
"30","ESV_000654","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Opitutaceae, Lacunisphaera, ","OCOC-D (30-40)","",9,99.6,4
"31","ESV_000724","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, , ","BCOC-S (0-10)","",17,100,2
"32","ESV_000737","Bacteria, Chloroflexi, KD4-96, , , , ","OCBC-D (30-40)","",10,100,2
"33","ESV_000737","Bacteria, Chloroflexi, KD4-96, , , , ","OCOC-D (30-40)","",8,100,2
"34","ESV_000798","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOC-D (30-40)","",28,100,69
"35","ESV_000798","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCBC-D (30-40)","",8,100,69
"36","ESV_000862","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, uncultured, ","OCOC-D (30-40)","",23,99.6,6
"37","ESV_000864","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","OCOO-S (0-10)","",10,100,3
"38","ESV_000876","Bacteria, Acidobacteriota, Vicinamibacteria, Vicinamibacterales, uncultured, , ","OCOO-D (30-40)","",16,100,1
"39","ESV_001576","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, , ","OCBC-D (30-40)","",24,100,4
"40","ESV_001904","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","OCOO-D (30-40)","",8,100,12
"41","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOC-S (0-10)","",12,100,7
"42","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOO-S (0-10)","",23,100,7
"43","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCBC-S (0-10)","",20,100,7
"44","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOC-S (0-10)","",19,100,7
"45","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOO-D (30-40)","",10,100,7
"46","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOO-S (0-10)","",45,100,7
"47","ESV_003752","Bacteria, Actinobacteriota, Actinobacteria, , , , ","BCOC-S (0-10)","",23,100,3
"48","ESV_003752","Bacteria, Actinobacteriota, Actinobacteria, , , , ","OCOO-S (0-10)","",9,100,3
"49","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCBC-S (0-10)","",22,100,21
"50","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOC-S (0-10)","",83,100,21
"51","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOO-S (0-10)","",114,100,21
"52","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCBC-S (0-10)","",24,100,21
"53","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOC-S (0-10)","",24,100,21
"54","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOO-S (0-10)","",221,100,21
"55","ESV_004523","Bacteria, Actinobacteriota, Actinobacteria, Frankiales, Geodermatophilaceae, Blastococcus, ","BCOC-S (0-10)","",11,100,1
"56","ESV_004531","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","OCOO-S (0-10)","",13,100,2
"57","ESV_005114","Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Aeromicrobium, ","BCOC-D (30-40)","",47,99.6,10
"58","ESV_005114","Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Aeromicrobium, ","BCOO-D (30-40)","",30,99.6,10
"59","ESV_005114","Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Aeromicrobium, ","OCOC-D (30-40)","",23,99.6,10
"60","ESV_005290","Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, , , ","OCOO-D (30-40)","",8,100,1
"61","ESV_005503","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Ureibacillus, ","OCOC-S (0-10)","",9,100,1
"62","ESV_005602","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, ","OCOC-S (0-10)","",8,100,11
"63","ESV_005622","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium sensu stricto 7, thermopalmarium","OCOC-S (0-10)","",10,100,1
"64","ESV_005697","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Ureibacillus, ","OCBC-D (30-40)","",12,99.6,5
"65","ESV_005697","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Ureibacillus, ","OCOC-S (0-10)","",13,99.6,5
"66","ESV_005707","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Geobacillus, ","OCOC-D (30-40)","",13,100,2
"67","ESV_005707","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Geobacillus, ","OCOO-D (30-40)","",16,100,2
"68","ESV_006006","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","BCBC-S (0-10)","",30,100,9
"69","ESV_006006","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","BCOC-S (0-10)","",30,100,9
"70","ESV_006006","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","BCOO-S (0-10)","",18,100,9
"71","ESV_006006","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","OCBC-S (0-10)","",10,100,9
"72","ESV_006006","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","OCOC-S (0-10)","",44,100,9
"73","ESV_006006","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","OCOO-S (0-10)","",20,100,9
"74","ESV_006334","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCOC-D (30-40)","",18,100,60
"75","ESV_006334","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCOO-D (30-40)","",23,100,60
"76","ESV_006503","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, ","BCOC-S (0-10)","",16,100,8
"77","ESV_006503","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, ","OCOC-S (0-10)","",13,100,8
"78","ESV_006695","Bacteria, Firmicutes, Bacilli, Paenibacillales, Paenibacillaceae, Ammoniphilus, resinae","BCOC-S (0-10)","",16,100,1
"79","ESV_007363","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","OCOO-D (30-40)","",9,100,5
"80","ESV_007499","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, ","OCOC-D (30-40)","",26,100,1
"81","ESV_007623","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","BCBC-S (0-10)","",9,100,4
"82","ESV_007623","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","BCOO-S (0-10)","",9,100,4
"83","ESV_007955","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, badius","BCOC-S (0-10)","",14,100,1
"84","ESV_007955","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, badius","OCOC-S (0-10)","",10,100,1
"85","ESV_007966","Bacteria, Actinobacteriota, Actinobacteria, Micromonosporales, Micromonosporaceae, Micromonospora, ","OCOC-S (0-10)","",43,100,25
"86","ESV_008131","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, ","BCOO-S (0-10)","",8,100,8
"87","ESV_008131","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, ","OCOO-S (0-10)","",44,100,8
"88","ESV_008290","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOO-S (0-10)","",11,100,61
"89","ESV_008336","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Azohydromonas, ","BCOC-S (0-10)","",10,100,2
"90","ESV_008393","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Cellulomonadaceae, Cellulomonas, ","BCOC-S (0-10)","",14,100,5
"91","ESV_008393","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Cellulomonadaceae, Cellulomonas, ","BCOO-S (0-10)","",11,100,5
"92","ESV_008393","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Cellulomonadaceae, Cellulomonas, ","OCOO-S (0-10)","",14,100,5
"93","ESV_008469","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCBC-S (0-10)","",12,100,5
"94","ESV_008469","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOC-S (0-10)","",11,100,5
"95","ESV_008469","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOO-S (0-10)","",16,100,5
"96","ESV_008469","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","OCOC-S (0-10)","",14,100,5
"97","ESV_008469","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","OCOO-S (0-10)","",18,100,5
"98","ESV_008481","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","BCOC-S (0-10)","",42,100,6
"99","ESV_008586","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, ","OCOO-S (0-10)","",10,100,7
"100","ESV_008772","Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae, , ","BCOC-D (30-40)","",8,100,2
"101","ESV_009034","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, chinensis","BCOO-S (0-10)","",9,100,1
"102","ESV_009034","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, chinensis","OCOO-S (0-10)","",12,100,1
"103","ESV_009160","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCBC-D (30-40)","",16,100,56
"104","ESV_009160","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCBC-D (30-40)","",8,100,56
"105","ESV_009199","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , ","OCOC-D (30-40)","",15,100,3
"106","ESV_009199","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , ","OCOC-S (0-10)","",9,100,3
"107","ESV_009255","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, , ","BCOC-S (0-10)","",17,100,2
"108","ESV_009281","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCBC-D (30-40)","",15,100,14
"109","ESV_009281","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOC-D (30-40)","",17,100,14
"110","ESV_009281","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOC-S (0-10)","",10,100,14
"111","ESV_009309","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Pseudoxanthomonas, ","BCOO-D (30-40)","",15,100,3
"112","ESV_009354","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, , ","BCOC-S (0-10)","",12,100,5
"113","ESV_009368","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium, ","BCOC-S (0-10)","",11,100,1
"114","ESV_010108","Bacteria, Chloroflexi, KD4-96, , , , ","BCOC-S (0-10)","",21,100,1
"115","ESV_010158","Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, ","OCOO-S (0-10)","",8,100,3
"116","ESV_010278","Bacteria, Acidobacteriota, Vicinamibacteria, Vicinamibacterales, , , ","BCBC-D (30-40)","",9,100,3
"117","ESV_012944","Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, ","OCOO-S (0-10)","",10,99.6,3
"118","ESV_013176","Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, aerolata","BCOC-S (0-10)","",15,100,1
"119","ESV_013176","Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, aerolata","BCOO-S (0-10)","",24,100,1
"120","ESV_013176","Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, aerolata","OCBC-S (0-10)","",34,100,1
"121","ESV_013176","Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, aerolata","OCOC-S (0-10)","",17,100,1
"122","ESV_013176","Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Azospirillaceae, Skermanella, aerolata","OCOO-S (0-10)","",74,100,1
"123","ESV_013791","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudohongiellaceae, BIyi10, ","BCBC-S (0-10)","",9,100,1
"124","ESV_013791","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudohongiellaceae, BIyi10, ","BCOC-S (0-10)","",13,100,1
"125","ESV_013791","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudohongiellaceae, BIyi10, ","OCBC-S (0-10)","",11,100,1
"126","ESV_013791","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudohongiellaceae, BIyi10, ","OCOO-S (0-10)","",8,100,1
"127","ESV_014086","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, , , ","OCOC-S (0-10)","",13,99.2,3
"128","ESV_014433","Bacteria, Myxococcota, Polyangia, Polyangiales, BIrii41, , ","BCBC-S (0-10)","",40,100,1
"129","ESV_014433","Bacteria, Myxococcota, Polyangia, Polyangiales, BIrii41, , ","BCOC-S (0-10)","",9,100,1
"130","ESV_014433","Bacteria, Myxococcota, Polyangia, Polyangiales, BIrii41, , ","OCBC-S (0-10)","",8,100,1
"131","ESV_014433","Bacteria, Myxococcota, Polyangia, Polyangiales, BIrii41, , ","OCOO-S (0-10)","",12,100,1
"132","ESV_014645","Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, , ","OCOO-S (0-10)","",13,100,2
"133","ESV_015012","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Microbulbiferaceae, Microbulbifer, ","BCOO-D (30-40)","",8,100,7
"134","ESV_015026","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, ","OCOC-S (0-10)","",15,100,4
"135","ESV_015360","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","OCOO-S (0-10)","",10,100,5
"136","ESV_015397","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter, ","OCOO-S (0-10)","",11,100,1
"137","ESV_015433","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","BCOO-S (0-10)","",12,100,8
"138","ESV_015433","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","OCBC-S (0-10)","",16,100,8
"139","ESV_015433","Bacteria, Firmicutes, Bacilli, Bacillales, , , ","OCOO-S (0-10)","",44,100,8
"140","ESV_015655","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, ","OCBC-D (30-40)","",10,100,4
"141","ESV_015655","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, ","OCOO-S (0-10)","",12,100,4
"142","ESV_015733","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, ","BCOO-S (0-10)","",12,100,1
"143","ESV_015733","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, ","OCBC-S (0-10)","",11,100,1
"144","ESV_015733","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, ","OCOC-S (0-10)","",11,100,1
"145","ESV_015733","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, ","OCOO-S (0-10)","",25,100,1
"146","ESV_015740","Bacteria, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria Incertae Sedis, Unknown Family, Acidibacter, ","BCOO-S (0-10)","",24,100,1
"147","ESV_015865","Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, ","BCOC-S (0-10)","",14,100,1
"148","ESV_015869","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Arenimonas, ","BCOC-S (0-10)","",11,100,3
"149","ESV_015869","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Arenimonas, ","OCOO-S (0-10)","",12,100,3
"150","ESV_015909","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Opitutaceae, Lacunisphaera, limnophila","BCOC-S (0-10)","",10,100,1
"151","ESV_015909","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Opitutaceae, Lacunisphaera, limnophila","OCOC-S (0-10)","",12,100,1
"152","ESV_015951","Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, ","BCOO-S (0-10)","",11,100,1
"153","ESV_015958","Bacteria, Acidobacteriota, Blastocatellia, Blastocatellales, Blastocatellaceae, uncultured, ","BCBC-S (0-10)","",11,100,1
"154","ESV_015958","Bacteria, Acidobacteriota, Blastocatellia, Blastocatellales, Blastocatellaceae, uncultured, ","BCOO-S (0-10)","",11,100,1
"155","ESV_015958","Bacteria, Acidobacteriota, Blastocatellia, Blastocatellales, Blastocatellaceae, uncultured, ","OCOO-S (0-10)","",11,100,1
"156","ESV_015987","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOC-D (30-40)","",16,100,68
"157","ESV_015987","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOC-S (0-10)","",20,100,68
"158","ESV_015987","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOO-S (0-10)","",9,100,68
"159","ESV_015987","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCBC-S (0-10)","",9,100,68
"160","ESV_015987","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCOO-D (30-40)","",13,100,68
"161","ESV_015987","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCOO-S (0-10)","",21,100,68
"162","ESV_016060","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, ","BCOO-S (0-10)","",17,100,3
"163","ESV_016072","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , ","OCOO-S (0-10)","",10,99.6,7
"164","ESV_016078","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, uncultured, ","OCOO-S (0-10)","",9,100,1
"165","ESV_016111","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, ","BCOC-S (0-10)","",33,100,4
"166","ESV_016111","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, ","OCOO-S (0-10)","",24,100,4
"167","ESV_016136","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, ","BCOC-D (30-40)","",18,100,1
"168","ESV_016259","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, ","BCOC-D (30-40)","",23,100,1
"169","ESV_016266","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, ","BCOC-S (0-10)","",8,100,1
"170","ESV_016392","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured, ","BCOC-D (30-40)","",8,100,1
"171","ESV_016449","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOC-D (30-40)","",20,100,5
"172","ESV_016549","Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, , ","BCOC-S (0-10)","",44,100,3
"173","ESV_016549","Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, , ","BCOO-S (0-10)","",8,100,3
"174","ESV_016549","Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, , ","OCBC-D (30-40)","",25,100,3
"175","ESV_016549","Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, , ","OCOC-S (0-10)","",12,100,3
"176","ESV_016619","Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera, ","BCBC-D (30-40)","",10,96,1
"177","ESV_016789","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOC-D (30-40)","",9,100,4
"178","ESV_016802","Bacteria, Acidobacteriota, Vicinamibacteria, Vicinamibacterales, uncultured, , ","OCOO-D (30-40)","",12,100,1
"179","ESV_017080","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Bogoriellaceae, Georgenia, ","OCOC-S (0-10)","",8,100,3
"180","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","BCBC-S (0-10)","",16,100,1
"181","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","BCOC-D (30-40)","",23,100,1
"182","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","BCOC-S (0-10)","",101,100,1
"183","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","BCOO-S (0-10)","",16,100,1
"184","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","OCBC-D (30-40)","",8,100,1
"185","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","OCOC-D (30-40)","",30,100,1
"186","ESV_017375","Bacteria, Chloroflexi, KD4-96, , , , ","OCOC-S (0-10)","",105,100,1
