"","esv_id","kpcofgs","site_name","total_sample_number","total_percent_match","total_number_species"
"20","ESV_000105","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",263,97.9,6
"21","ESV_000105","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP4",16,97.9,6
"22","ESV_000110","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, , ","NDC",444,99.7,9
"23","ESV_000110","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, , ","NPB1",24,99.7,9
"24","ESV_000119","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NPB1",20,98.8,14
"25","ESV_000200","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",109,99.7,4
"26","ESV_000288","Eukaryota, Chlorophyta, Trebouxiophyceae, unk_order, unk_family, Choricystis, Choricystis parasitica","NWP (NCOS West Pond)",15,97.3,1
"27","ESV_000291","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",12,99.7,6
"28","ESV_000344","Eukaryota, Chlorophyta, Trebouxiophyceae, unk_order, unk_family, Choricystis, Choricystis parasitica","NPB1",153,98.5,1
"29","ESV_000484","Eukaryota, Haptista, Haptophyta, Isochrysidales, Isochrysidaceae, , ","NVBR",11,97.3,2
"30","ESV_000484","Eukaryota, Haptista, Haptophyta, Isochrysidales, Isochrysidaceae, , ","PIER",12,97.3,2
"31","ESV_000507","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora, ","NDC",331,99.1,8
"32","ESV_000800","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",18,99.4,4
"33","ESV_001135","Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae, , ","NVP2",50,95.8,20
"34","ESV_001152","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, ","NWP (NCOS West Pond)",58,99.7,4
"35","ESV_001200","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",44,99.1,1
"36","ESV_001200","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NVP2",19,99.1,1
"37","ESV_001200","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NVP4",11,99.1,1
"38","ESV_001200","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NWP (NCOS West Pond)",10,99.1,1
"39","ESV_001318","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",10,99.4,9
"40","ESV_001375","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",14,98.5,22
"41","ESV_001496","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",10,99.7,17
"42","ESV_001992","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",51,98.2,6
"43","ESV_002084","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",18,99.7,6
"44","ESV_002271","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",162,99.1,20
"45","ESV_002295","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",13,99.4,4
"46","ESV_002827",", , , , , , ","NDC",115,NA,NA
"47","ESV_002958","Eukaryota, Euglenozoa, Euglenida, Euglenales, unk_family, Colacium, ","NWP (NCOS West Pond)",13,96.4,2
"48","ESV_003581","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","Coprvp1",13,99.1,19
"49","ESV_003581","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NVP4",9,99.1,19
"50","ESV_003642","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",33,98.5,3
"51","ESV_003642","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NWP (NCOS West Pond)",20,98.5,3
"52","ESV_004065","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",43,99.1,11
"53","ESV_005024","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",16,99.1,6
"54","ESV_005392","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Cylindrotheca, Cylindrotheca closterium","NDC",41,100,1
"55","ESV_006699","Eukaryota, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Micromonas, ","PIER",8,100,2
"56","ESV_009472","Eukaryota, Haptista, Haptophyta, Prymnesiales, Chrysochromulinaceae, Chrysochromulina, ","PIER",10,98.5,2
"57","ESV_014101","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, , ","NPB1",9,99.4,9
"58","ESV_031129","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NPB1",14,97.3,9
"59","ESV_031150","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NDC",153,98.8,7
"60","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",357,100,4
"61","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",378,100,4
"62","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NDC",137,100,4
"63","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",100,100,4
"64","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",58,100,4
"65","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",153,100,4
"66","ESV_031177","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",195,100,4
"67","ESV_031181","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, , ","NPB1",41,99.4,9
"68","ESV_031183","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",23,96.4,6
"69","ESV_031411","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","MO1",14,99.4,14
"70","ESV_031411","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NDC",67,99.4,14
"71","ESV_031411","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NEC",27,99.4,14
"72","ESV_031411","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NVBR",10,99.4,14
"73","ESV_031411","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","PIER",36,99.4,14
"74","ESV_031540","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",26,100,2
"75","ESV_031540","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",36,100,2
"76","ESV_031863","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NWP (NCOS West Pond)",137,99.4,6
"77","ESV_031959","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NWP (NCOS West Pond)",8,98.2,3
"78","ESV_032534","Eukaryota, Euglenozoa, Euglenida, Euglenales, Euglenaceae, Euglena, ","Coprvp1",15,99.4,2
"79","ESV_032614","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora, ","NWP (NCOS West Pond)",14,98.2,8
"80","ESV_032692","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",37,98.8,20
"81","ESV_032823","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",34,97.3,21
"82","ESV_033171","Eukaryota, Bacillariophyta, Bacillariophyceae, , , , ","NWP (NCOS West Pond)",22,98.2,29
"83","ESV_033242","Eukaryota, Chlorophyta, Chlorophyceae, Sphaeropleales, Selenastraceae, , ","NWP (NCOS West Pond)",11,96.7,2
"84","ESV_033329","Eukaryota, Euglenozoa, Euglenida, Euglenales, Euglenaceae, Euglena, Euglena sp. Jilnal030207I","NPB1",69,100,1
"85","ESV_033388","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",12,98.5,20
"86","ESV_033588","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NPB1",29,99.4,16
"87","ESV_033867","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",13,99.7,4
"88","ESV_036326","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",19,98.5,8
"89","ESV_036526","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NPB1",94,99.4,4
"90","ESV_036526","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NVP2",36,99.4,4
"91","ESV_036526","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NWP (NCOS West Pond)",47,99.4,4
"92","ESV_036532","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",9,98.5,6
"93","ESV_036787","Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, , , ","NVP4",8,99.7,9
"94","ESV_036887","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas obovoidea","NPB1",548,100,1
"95","ESV_037287","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP2",15,98.5,6
"96","ESV_059512","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, ","Coprvp1",12,100,9
"97","ESV_059512","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, ","NVP4",12,100,9
"98","ESV_059629","Eukaryota, Streptophyta, Zygnemophyceae, Desmidiales, Closteriaceae, Closterium, Closterium baillyanum","NVP4",24,100,1
"99","ESV_059641","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",12,96.4,6
"100","ESV_060364","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine","NDC",47,100,1
"101","ESV_060364","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine","NPB1",11,100,1
"102","ESV_060465","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","Coprvp1",11,97,6
"103","ESV_061092","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NWP (NCOS West Pond)",19,96.7,1
"104","ESV_061117","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NPB1",294,99.4,4
"105","ESV_061120","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NVP2",18,98.5,1
"106","ESV_061124","Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, , , ","NVP4",13,98.5,3
"107","ESV_061145","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",3036,96.4,13
"108","ESV_061145","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",482,96.4,13
"109","ESV_061175","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",16,99.4,1
"110","ESV_061250","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",29,96.4,9
"111","ESV_061250","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",18,96.4,9
"112","ESV_061435","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NWP (NCOS West Pond)",10,93.7,6
"113","ESV_061436","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, ","NWP (NCOS West Pond)",15,98.5,4
"114","ESV_061446","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",42,97,10
"115","ESV_061446","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",178,97,10
"116","ESV_061454","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",66,96.7,5
"117","ESV_061739","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",31,96.7,6
"118","ESV_061843","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",13,91.6,22
"119","ESV_061844","Eukaryota, unk_phylum, Cryptophyceae, , , , ","Coprvp1",35,98.5,2
"120","ESV_062027","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",52,100,2
"121","ESV_062027","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",105,100,2
"122","ESV_062027","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",35,100,2
"123","ESV_062027","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",12,100,2
"124","ESV_062027","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",31,100,2
"125","ESV_062027","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",24,100,2
"126","ESV_062079","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP2",32,98.8,6
"127","ESV_062079","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP4",15,98.8,6
"128","ESV_062161","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NDC",14,99.1,14
"129","ESV_062387","Eukaryota, Bacillariophyta, , , , , ","CUL1",110,95.8,23
"130","ESV_062387","Eukaryota, Bacillariophyta, , , , , ","MO1",23,95.8,23
"131","ESV_062387","Eukaryota, Bacillariophyta, , , , , ","NVBR",10,95.8,23
"132","ESV_062387","Eukaryota, Bacillariophyta, , , , , ","PIER",35,95.8,23
"133","ESV_062429","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP4",16,98.5,6
"134","ESV_062451","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",26,98.8,16
"135","ESV_062762","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",29,99.7,5
"136","ESV_062762","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",64,99.7,5
"137","ESV_062762","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",17,99.7,5
"138","ESV_062762","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",13,99.7,5
"139","ESV_063106","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",29,98.8,4
"140","ESV_063122","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",17,99.4,16
"141","ESV_063297","Eukaryota, unk_phylum, Cryptophyceae, , , , ","Coprvp1",10,98.2,11
"142","ESV_063351","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",116,99.7,16
"143","ESV_063351","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",204,99.7,16
"144","ESV_063351","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",229,99.7,16
"145","ESV_063351","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",98,99.7,16
"146","ESV_063351","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",192,99.7,16
"147","ESV_063351","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",37,99.7,16
"148","ESV_064115","Eukaryota, Euglenozoa, Euglenida, Euglenales, Euglenaceae, Euglena, ","Coprvp1",8,93.1,3
"149","ESV_064303","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",9,99.4,18
"150","ESV_064303","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",17,99.4,18
"151","ESV_064303","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",8,99.4,18
"152","ESV_064569","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",8,99.4,18
"153","ESV_064722","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",11,99.7,16
"154","ESV_064722","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",9,99.7,16
"155","ESV_066110","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",21,90.8,3
"156","ESV_066299","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","CUL1",9,99.4,10
"157","ESV_069687","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",321,90.4,3
"158","ESV_069837","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",10,91.1,3
"159","ESV_070041","Eukaryota, Streptophyta, Zygnemophyceae, , , , ","Coprvp1",8,100,3
"160","ESV_070135","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NPB1",9,99.1,4
"161","ESV_070442","Bacteria, Cyanobacteria, unk_class, Nostocales, , , ","NVP4",9,98.8,9
"162","ESV_070457","Eukaryota, unk_phylum, Phaeophyceae, , , , ","Coprvp1",12,93.4,13
"163","ESV_071219","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas obovoidea","NPB1",17,99.7,1
"164","ESV_071264","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",18,90.7,3
"165","ESV_071439","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP4",39,99.7,3
"166","ESV_071630","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",8,98.5,1
"167","ESV_072806","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora, ","NVP4",154,98.8,2
"168","ESV_074990","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",10,96.1,13
"169","ESV_081953","Eukaryota, Chlorophyta, Trebouxiophyceae, , , , ","NDC",16,94,25
"170","ESV_092819","Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece, ","NPB1",8,93.4,2
"171","ESV_092819","Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece, ","NVP4",283,93.4,2
"172","ESV_095706","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NWP (NCOS West Pond)",9,98.5,23
"173","ESV_100020","Eukaryota, unk_phylum, Cryptophyceae, , , , ","Coprvp1",175,97.6,15
"174","ESV_100455","Eukaryota, Bacillariophyta, , , , , ","CUL1",8,98.5,2
"175","ESV_100455","Eukaryota, Bacillariophyta, , , , , ","NVBR",25,98.5,2
"176","ESV_100455","Eukaryota, Bacillariophyta, , , , , ","PIER",669,98.5,2
"177","ESV_100823","Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, , , ","NVP4",14,98.8,3
"178","ESV_100877","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",334,97,11
"179","ESV_101402","Bacteria, Cyanobacteria, , , , , ","NDC",24,84.5,2
"180","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",868,99.7,6
"181","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",537,99.7,6
"182","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",509,99.7,6
"183","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",1223,99.7,6
"184","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",1425,99.7,6
"185","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",230,99.7,6
"186","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",1151,99.7,6
"187","ESV_104853","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",282,99.7,6
"188","ESV_105052","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, ","NWP (NCOS West Pond)",9,99.7,8
"189","ESV_105861","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",46,93.4,3
"190","ESV_106822","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP2",20,93.7,6
"191","ESV_109710","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora, ","NPB1",9,97.9,8
"192","ESV_111780","Eukaryota, Euglenozoa, Euglenida, Euglenales, unk_family, Colacium, ","NWP (NCOS West Pond)",16,99.1,2
"193","ESV_111802","Eukaryota, Bacillariophyta, Bacillariophyceae, , , , ","NPB1",11,93.7,24
"194","ESV_115937","Eukaryota, Euglenozoa, Euglenida, Euglenales, unk_family, Colacium, ","NWP (NCOS West Pond)",11,96.7,2
"195","ESV_116037","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NVP4",97,99.4,17
"196","ESV_127092","Eukaryota, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Mamiella, Mamiella gilva","PIER",10,100,1
"197","ESV_127259","Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae, Nannochloris, Nannochloris normandinae","NDC",86,98.5,1
"198","ESV_127319","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Chaetocerotales, Chaetocerotaceae, Chaetoceros, ","PIER",32,97.9,2
"199","ESV_127691","Eukaryota, unk_phylum, Phaeophyceae, , , , ","Coprvp1",54,93.1,13
"200","ESV_127734","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",12,91.3,20
"201","ESV_127734","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",13,91.3,20
"202","ESV_129590","Eukaryota, unk_phylum, Dictyochophyceae, Dictyochales, unk_family, Dictyocha, Dictyocha speculum","PIER",12,96.4,1
"203","ESV_130344","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",10,99.7,16
"204","ESV_130579","Eukaryota, Bacillariophyta, , , , , ","PIER",21,98.2,8
"205","ESV_131625","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",11,99.1,4
"206","ESV_132232","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",8,98.8,4
"207","ESV_133858","Eukaryota, Haptista, Haptophyta, Isochrysidales, , , ","NVBR",11,90.4,3
