"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"21","ESV_000087","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , ","Least Sandpiper fresh dropping","",14,100,14
"22","ESV_000087","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , ","Semi palmated plover fresh dropping","",40,100,14
"23","ESV_000111","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","Least Sandpiper fresh dropping","",8,99,8
"24","ESV_000274","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Arcobacteraceae, , ","Least Sandpiper fresh dropping","",102,99,6
"25","ESV_000274","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Arcobacteraceae, , ","Semi palmated plover fresh dropping","",22,99,6
"26","ESV_000754","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","Least Sandpiper fresh dropping","",8,100,2
"27","ESV_000838","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",8,100,18
"28","ESV_000881","Eukaryota, Phragmoplastophyta, Embryophyta, Magnoliophyta, Magnoliophyta, Magnoliophyta, ","Semi palmated plover fresh dropping","",8,100,85
"29","ESV_000983","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","Semi palmated plover fresh dropping","",20,100,26
"30","ESV_001001","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, , , ","Least Sandpiper fresh dropping","",9,100,7
"31","ESV_001016","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Least Sandpiper fresh dropping","",80,100,12
"32","ESV_001016","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",8,100,12
"33","ESV_001027","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Least Sandpiper fresh dropping","",20,100,20
"34","ESV_001027","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",27,100,20
"35","ESV_001060","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, Rhodopirellula, ","Semi palmated plover fresh dropping","",12,100,4
"36","ESV_001099","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, , , ","Semi palmated plover fresh dropping","",11,100,23
"37","ESV_001142","Eukaryota, , , , , , ","Killdeer fresh dropping","",17,100,3
"38","ESV_001246","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, , ","Least Sandpiper fresh dropping","",9,98.1,6
"39","ESV_001246","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, , ","Semi palmated plover fresh dropping","",38,98.1,6
"40","ESV_001401","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Least Sandpiper fresh dropping","",204,100,8
"41","ESV_001401","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Semi palmated plover fresh dropping","",34,100,8
"42","ESV_001441","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Euplotia, Euplotes, ","Least Sandpiper fresh dropping","",9,100,7
"43","ESV_001460","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Killdeer fresh dropping","",12,100,21
"44","ESV_001460","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Least Sandpiper fresh dropping","",36,100,21
"45","ESV_001460","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",38,100,21
"46","ESV_001487","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","Killdeer fresh dropping","",19,100,10
"47","ESV_001487","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","Semi palmated plover fresh dropping","",25,100,10
"48","ESV_001495","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","Least Sandpiper fresh dropping","",9,100,10
"49","ESV_001575","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia-Shigella, dysenteriae","Least Sandpiper fresh dropping","",11,100,1
"50","ESV_001575","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia-Shigella, dysenteriae","Semi palmated plover fresh dropping","",8,100,1
"51","ESV_001612","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, ","Killdeer fresh dropping","",97,100,10
"52","ESV_001612","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, ","Least Sandpiper fresh dropping","",9,100,10
"53","ESV_001612","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, ","Semi palmated plover fresh dropping","",20,100,10
"54","ESV_001864","Eukaryota, , , , , , ","Semi palmated plover fresh dropping","",12,100,2
"55","ESV_002114","Eukaryota, Animalia, Animalia, Animalia, Animalia, Animalia, ","Killdeer fresh dropping","",15,100,1
"56","ESV_002270","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, ","Semi palmated plover fresh dropping","",12,100,4
"57","ESV_002276","Bacteria, Proteobacteria, , , , , ","Least Sandpiper fresh dropping","",8,100,26
"58","ESV_002276","Bacteria, Proteobacteria, , , , , ","Semi palmated plover fresh dropping","",36,100,26
"59","ESV_002438","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, Aspergillaceae, , ","Killdeer fresh dropping","",13,100,3
"60","ESV_002499","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, Pleosporaceae, Alternaria, alternata","Killdeer fresh dropping","",62,100,1
"61","ESV_002652","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, Aspergillaceae, Aspergillus, penicillioides","Killdeer fresh dropping","",90,100,1
"62","ESV_002676","Eukaryota, Vertebrata, Aves, Aves, Aves, Aves, ","Killdeer fresh dropping","",731,100,3
"63","ESV_002797","Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera, viennensis","Semi palmated plover fresh dropping","",10,98.9,1
"64","ESV_002957","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",66,100,1
"65","ESV_002957","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Least Sandpiper fresh dropping","",139,100,1
"66","ESV_002957","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Semi palmated plover fresh dropping","",407,100,1
"67","ESV_002990","Eukaryota, Heterolobosea, Tetramitia, Tetramitia, Tetramitia, Naegleria, ","Least Sandpiper fresh dropping","",8,99.1,4
"68","ESV_002990","Eukaryota, Heterolobosea, Tetramitia, Tetramitia, Tetramitia, Naegleria, ","Semi palmated plover fresh dropping","",15,99.1,4
"69","ESV_003334","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Rhodocyclaceae, , ","Semi palmated plover fresh dropping","",9,100,20
"70","ESV_003983","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , ","Semi palmated plover fresh dropping","",11,100,6
"71","ESV_004981","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Least Sandpiper fresh dropping","",13,97.6,15
"72","ESV_004981","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Semi palmated plover fresh dropping","",8,97.6,15
"73","ESV_005692","Eukaryota, Centrohelida, Centrohelida, Centrohelida, , , ","Least Sandpiper fresh dropping","",11,92.4,2
"74","ESV_006721","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",8,100,6
"75","ESV_010682","Eukaryota, Ascomycota, , , , , ","Killdeer fresh dropping","",28,99.2,33
"76","ESV_014774","Eukaryota, Basidiomycota, Agaricomycetes, , , , ","Killdeer fresh dropping","",12,100,4
"77","ESV_015743","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Semi palmated plover fresh dropping","",15,99.2,1
"78","ESV_017454","Eukaryota, Ascomycota, , , , , ","Killdeer fresh dropping","",156,99.2,52
"79","ESV_018605","Eukaryota, Amoebozoa, Tubulinea, Euamoebida, Euamoebida, Euamoebida, ","Semi palmated plover fresh dropping","",43,88.1,1
"80","ESV_020344","Eukaryota, Ochrophyta, Chrysophyceae, , , , ","Semi palmated plover fresh dropping","",8,86,4
"81","ESV_020662","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Least Sandpiper fresh dropping","",22,99.2,3
"82","ESV_021669","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Least Sandpiper fresh dropping","",13,99,6
"83","ESV_021669","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",67,99,6
"84","ESV_023747","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",20,100,10
"85","ESV_024921","Eukaryota, Chlorophyta, Chlorodendrophyceae, Chlorodendrales, Chlorodendrales, Tetraselmis, subcordiformis","Least Sandpiper fresh dropping","",2798,100,1
"86","ESV_024921","Eukaryota, Chlorophyta, Chlorodendrophyceae, Chlorodendrales, Chlorodendrales, Tetraselmis, subcordiformis","Semi palmated plover fresh dropping","",8638,100,1
"87","ESV_024922","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, salina","Killdeer fresh dropping","",57,100,1
"88","ESV_024922","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, salina","Least Sandpiper fresh dropping","",501,100,1
"89","ESV_024922","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, salina","Semi palmated plover fresh dropping","",3536,100,1
"90","ESV_024923","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",1880,84.9,6
"91","ESV_024924","Eukaryota, Rotifera, Monogononta, Ploimida, Ploimida, Ploimida, ","Least Sandpiper fresh dropping","",152,97.7,1
"92","ESV_024924","Eukaryota, Rotifera, Monogononta, Ploimida, Ploimida, Ploimida, ","Semi palmated plover fresh dropping","",1202,97.7,1
"93","ESV_024925","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Least Sandpiper fresh dropping","",66,99,34
"94","ESV_024925","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",898,99,34
"95","ESV_024926",", , , , , , ","Least Sandpiper fresh dropping","",174,NA,NA
"96","ESV_024926",", , , , , , ","Semi palmated plover fresh dropping","",651,NA,NA
"97","ESV_024927","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Least Sandpiper fresh dropping","",208,97.5,1
"98","ESV_024927","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Semi palmated plover fresh dropping","",627,97.5,1
"99","ESV_024928","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Least Sandpiper fresh dropping","",70,99.2,4
"100","ESV_024928","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Semi palmated plover fresh dropping","",286,99.2,4
"101","ESV_024929","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",276,85.2,2
"102","ESV_024930","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Least Sandpiper fresh dropping","",1628,97.6,3
"103","ESV_024930","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Semi palmated plover fresh dropping","",263,97.6,3
"104","ESV_024931","Eukaryota, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, , ","Least Sandpiper fresh dropping","",26,97.7,3
"105","ESV_024931","Eukaryota, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, , ","Semi palmated plover fresh dropping","",216,97.7,3
"106","ESV_024932","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Least Sandpiper fresh dropping","",1423,100,1
"107","ESV_024932","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Semi palmated plover fresh dropping","",213,100,1
"108","ESV_024933","Eukaryota, Protalveolata, Syndiniales, Syndiniales, , , ","Semi palmated plover fresh dropping","",203,82.3,2
"109","ESV_024934","Eukaryota, Ochrophyta, Chrysophyceae, Ochromonadales, Ochromonadales, Ochromonas, ","Least Sandpiper fresh dropping","",51,100,1
"110","ESV_024934","Eukaryota, Ochrophyta, Chrysophyceae, Ochromonadales, Ochromonadales, Ochromonas, ","Semi palmated plover fresh dropping","",201,100,1
"111","ESV_024935","Eukaryota, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, , ","Least Sandpiper fresh dropping","",15,98.5,2
"112","ESV_024935","Eukaryota, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, , ","Semi palmated plover fresh dropping","",192,98.5,2
"113","ESV_024936","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",152,85.2,1
"114","ESV_024937","Eukaryota, Cryptomycota, LKM11, LKM11, LKM11, LKM11, ","Least Sandpiper fresh dropping","",165,98.4,2
"115","ESV_024937","Eukaryota, Cryptomycota, LKM11, LKM11, LKM11, LKM11, ","Semi palmated plover fresh dropping","",151,98.4,2
"116","ESV_024938","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Arcobacteraceae, , ","Least Sandpiper fresh dropping","",37,100,1
"117","ESV_024938","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Arcobacteraceae, , ","Semi palmated plover fresh dropping","",146,100,1
"118","ESV_024939","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Least Sandpiper fresh dropping","",129,100,2
"119","ESV_024939","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Semi palmated plover fresh dropping","",133,100,2
"120","ESV_024940","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Semi palmated plover fresh dropping","",131,99.2,4
"121","ESV_024941","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, salinicola","Killdeer fresh dropping","",642,100,1
"122","ESV_024941","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, salinicola","Least Sandpiper fresh dropping","",620,100,1
"123","ESV_024941","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, salinicola","Semi palmated plover fresh dropping","",120,100,1
"124","ESV_024942","Eukaryota, Ciliophora, Intramacronucleata, Conthreep, Oligohymenophorea, , ","Least Sandpiper fresh dropping","",382,100,3
"125","ESV_024942","Eukaryota, Ciliophora, Intramacronucleata, Conthreep, Oligohymenophorea, , ","Semi palmated plover fresh dropping","",112,100,3
"126","ESV_024943","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, ","Least Sandpiper fresh dropping","",16,99.2,2
"127","ESV_024943","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, ","Semi palmated plover fresh dropping","",109,99.2,2
"128","ESV_024944","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",97,84.3,4
"129","ESV_024945","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, ","Least Sandpiper fresh dropping","",11,99.2,2
"130","ESV_024945","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, ","Semi palmated plover fresh dropping","",97,99.2,2
"131","ESV_024946",", , , , , , ","Least Sandpiper fresh dropping","",50,NA,NA
"132","ESV_024946",", , , , , , ","Semi palmated plover fresh dropping","",95,NA,NA
"133","ESV_024947","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Haloterrigena, ","Least Sandpiper fresh dropping","",78,100,2
"134","ESV_024947","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Haloterrigena, ","Semi palmated plover fresh dropping","",94,100,2
"135","ESV_024948","Eukaryota, Cercozoa, , , , , ","Semi palmated plover fresh dropping","",92,85.7,1
"136","ESV_024949","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, Rhodopirellula, ","Least Sandpiper fresh dropping","",13,100,2
"137","ESV_024949","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, Rhodopirellula, ","Semi palmated plover fresh dropping","",92,100,2
"138","ESV_024950","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Killdeer fresh dropping","",441,100,20
"139","ESV_024950","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Least Sandpiper fresh dropping","",100,100,20
"140","ESV_024950","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",84,100,20
"141","ESV_024951","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Euplotia, Euplotes, ","Semi palmated plover fresh dropping","",79,98.2,12
"142","ESV_024952","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, ","Semi palmated plover fresh dropping","",77,99.2,2
"143","ESV_024953","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",72,85.2,3
"144","ESV_024954",", , , , , , ","Least Sandpiper fresh dropping","",20,NA,NA
"145","ESV_024954",", , , , , , ","Semi palmated plover fresh dropping","",68,NA,NA
"146","ESV_024955","Eukaryota, Amoebozoa, Tubulinea, Arcellinida, , , ","Semi palmated plover fresh dropping","",68,81.9,5
"147","ESV_024956","Eukaryota, Amoebozoa, , , , , ","Least Sandpiper fresh dropping","",21,72.6,2
"148","ESV_024956","Eukaryota, Amoebozoa, , , , , ","Semi palmated plover fresh dropping","",63,72.6,2
"149","ESV_024957","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",59,85.7,3
"150","ESV_024958","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",59,84.1,6
"151","ESV_024959","Eukaryota, Ochrophyta, Chrysophyceae, Chromulinales, Chromulinales, Chrysamoeba, mikrokonta","Least Sandpiper fresh dropping","",13,85.3,1
"152","ESV_024959","Eukaryota, Ochrophyta, Chrysophyceae, Chromulinales, Chromulinales, Chrysamoeba, mikrokonta","Semi palmated plover fresh dropping","",57,85.3,1
"153","ESV_024960","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",55,85.2,2
"154","ESV_024961","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halohasta, litorea","Least Sandpiper fresh dropping","",9,100,1
"155","ESV_024961","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halohasta, litorea","Semi palmated plover fresh dropping","",54,100,1
"156","ESV_024962","Eukaryota, Ciliophora, Intramacronucleata, Conthreep, Nassophorea, Zosterodasys, agamalievi","Least Sandpiper fresh dropping","",113,96.4,1
"157","ESV_024962","Eukaryota, Ciliophora, Intramacronucleata, Conthreep, Nassophorea, Zosterodasys, agamalievi","Semi palmated plover fresh dropping","",50,96.4,1
"158","ESV_024963","Eukaryota, Ochrophyta, Chrysophyceae, , , , ","Least Sandpiper fresh dropping","",39,86.8,2
"159","ESV_024963","Eukaryota, Ochrophyta, Chrysophyceae, , , , ","Semi palmated plover fresh dropping","",49,86.8,2
"160","ESV_024964","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",47,85,4
"161","ESV_024965","Eukaryota, Rotifera, Monogononta, Ploimida, Ploimida, Ploimida, ","Semi palmated plover fresh dropping","",47,96.9,1
"162","ESV_024966","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",46,84.4,2
"163","ESV_024967","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Least Sandpiper fresh dropping","",17,100,7
"164","ESV_024967","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",44,100,7
"165","ESV_024968","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",43,100,2
"166","ESV_024969","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Salinarimonas, ","Semi palmated plover fresh dropping","",41,100,1
"167","ESV_024970","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",41,84.1,5
"168","ESV_024971","Eukaryota, Rotifera, Monogononta, Ploimida, Ploimida, Ploimida, ","Semi palmated plover fresh dropping","",41,96.9,1
"169","ESV_024972","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Least Sandpiper fresh dropping","",56,99.2,1
"170","ESV_024972","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Semi palmated plover fresh dropping","",40,99.2,1
"171","ESV_024973","Eukaryota, , , , , , ","Least Sandpiper fresh dropping","",10,78.5,11
"172","ESV_024973","Eukaryota, , , , , , ","Semi palmated plover fresh dropping","",39,78.5,11
"173","ESV_024974","Eukaryota, Amoebozoa, Tubulinea, Arcellinida, Arcellinida, Arcellinida, ","Semi palmated plover fresh dropping","",37,78.5,2
"174","ESV_024975","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Oligotrichia, Strombidium, oculatum","Least Sandpiper fresh dropping","",77,95.8,1
"175","ESV_024975","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Oligotrichia, Strombidium, oculatum","Semi palmated plover fresh dropping","",37,95.8,1
"176","ESV_024976","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Least Sandpiper fresh dropping","",23,100,1
"177","ESV_024976","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Semi palmated plover fresh dropping","",37,100,1
"178","ESV_024977","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",36,98.1,33
"179","ESV_024978","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halorubrum, kocurii","Semi palmated plover fresh dropping","",35,100,1
"180","ESV_024979","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",35,98.1,4
"181","ESV_024980","Eukaryota, Florideophycidae, Rhodymeniophycidae, Rhodymeniophycidae, Rhodymeniophycidae, , ","Semi palmated plover fresh dropping","",34,79.4,3
"182","ESV_024981","Archaea, Nanoarchaeota, Nanoarchaeia, Woesearchaeales, Woesearchaeales, Woesearchaeales, ","Least Sandpiper fresh dropping","",58,79.3,1
"183","ESV_024981","Archaea, Nanoarchaeota, Nanoarchaeia, Woesearchaeales, Woesearchaeales, Woesearchaeales, ","Semi palmated plover fresh dropping","",33,79.3,1
"184","ESV_024982","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, DEV007, DEV007, ","Semi palmated plover fresh dropping","",32,100,2
"185","ESV_024983","Eukaryota, , , , , , ","Semi palmated plover fresh dropping","",32,100,3
"186","ESV_024984","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",31,85,4
"187","ESV_024985","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",30,84.1,6
"188","ESV_024986","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",29,84.1,6
