site,kpcofgs,samples_sent,matches,percent_match,common_name
MO1,"Eukaryota, Arthropoda, Insecta, Diptera, Sphaeroceridae, Spelobia",1,380,95.5,
MO1,"Eukaryota, Arthropoda, Insecta, Lepidoptera, Acrolophidae, Acrolophus, Acrolophus walsinghami",1,174,94.3,
MO1,"Eukaryota, Bacillariophyta",2,294,84,diatoms
MO1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Rhizosoleniales, Rhizosoleniaceae, Rhizosolenia, Rhizosolenia setigera",2,50,89.3,
MO1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira nordenskioeldii",1,197,85.9,
MO1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",2,286,99.7,
MO1,"Eukaryota, Bacillariophyta, Mediophyceae, Cymatosirales, Cymatosiraceae, Minutocellus, Minutocellus polymorphus",2,86,91.75,
MO1,"Eukaryota, Evosea, unk_class, unk_order, unk_family, Squamamoeba, Squamamoeba japonica",2,36,81.9,
MO1,"Eukaryota, Haptista, Haptophyta, Isochrysidales, Isochrysidaceae, Isochrysis, Isochrysis galbana",1,32,83.4,
MO1,"Eukaryota, Oomycota",2,23,81.6,
MO1,"Eukaryota, Oomycota, unk_class, Peronosporales, Pontismataceae, Pontisma, [Olpidiopsis] porphyrae var. scotiae (nom. inval.)",1,95,88.3,
MO1,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",1,170,82.2,
MO1,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae",1,66,84,
MO1,"Eukaryota, Rhodophyta, Bangiophyceae, Bangiales, Bangiaceae, Neoporphyra, Neoporphyra haitanensis",1,8,90.2,
MO1,"Eukaryota, Rhodophyta, Florideophyceae",1,164,81,
MO1,"Eukaryota, Rotifera, Eurotatoria, Ploima",1,23,82.2,
MO1,"Eukaryota, Streptophyta, Coleochaetophyceae, Coleochaetales, Chaetosphaeridiaceae, Chaetosphaeridium, Chaetosphaeridium globosum",1,37,85.3,
MO1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",8,5171,86.8,
NDC,Eukaryota,5,2160,82.22,eucaryotes
NDC,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",8,2022,84.1875,
NDC,"Eukaryota, Arthropoda, Arachnida, Trombidiformes, Eriophyidae, Acalitus, Acalitus vaccinii",1,68,81.6,
NDC,"Eukaryota, Arthropoda, Arachnida, Trombidiformes, Tarsonemidae",1,195,92.4,white mites
NDC,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Daphniidae, Daphnia, Daphnia sp. 1 SA-2003",1,187,95.5,
NDC,"Eukaryota, Arthropoda, Insecta, Ephemeroptera, Caenidae, Caenis",3,395,99.60000000000001,
NDC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,824,100,
NDC,"Eukaryota, Discosea, unk_class, Longamoebia, Acanthamoebidae, Acanthamoeba",1,400,100,
NDC,"Eukaryota, Discosea, unk_class, Longamoebia, Acanthamoebidae, Acanthamoeba, Acanthamoeba sp.",1,12,81,
NDC,"Eukaryota, Oomycota",3,139,87.7,
NDC,"Eukaryota, Oomycota, unk_class, Peronosporales, Pontismataceae, Pontisma, [Olpidiopsis] porphyrae var. scotiae (nom. inval.)",1,17,81.6,
NDC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",2,788,83.45,
NDC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae, Globisporangium, Globisporangium perplexum",1,89,81.6,
NDC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae, Pythium",1,15,82.2,
NDC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae, Pythium, Pythium monospermum",1,9,93.9,
NDC,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae",2,95,84.35,
NDC,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, Saprolegnia, Saprolegnia turfosa",1,719,80.4,
NDC,"Eukaryota, Rotifera, Eurotatoria, Ploima, Brachionidae, Brachionus",2,3611,99.05000000000001,
NDC,"Eukaryota, unk_phylum, Chrysophyceae, Chromulinales, Chromulinaceae, Pedospumella",1,135,84.7,
NDC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Monodopsis, Monodopsis sp. MarTras21",1,22,81,
NDC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",6,3469,86.30000000000001,
NDC,"Eukaryota, unk_phylum, Xanthophyceae",6,6758,83.51666666666667,yellow-green algae
NDC,"Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema aequale",1,43,82.8,
NEC,Eukaryota,8,631,84.3625,eucaryotes
NEC,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",9,503,84.81111111111112,
NEC,"Eukaryota, Bacillariophyta",2,52,84.35,diatoms
NEC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia cf. recta RT-2009",1,36,81,
NEC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula, Navicula sp. BOLD:AAO6951",1,20,92,
NEC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Skeletonemataceae, Skeletonema, Skeletonema menzelii",1,12,98.2,
NEC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira nordenskioeldii",1,21,85.9,
NEC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,67,100,
NEC,"Eukaryota, Mollusca, Bivalvia, Galeommatida, Montacutidae, Kurtiella, Kurtiella bidentata",1,9,84,
NEC,"Eukaryota, Oomycota",7,2305,84.57142857142857,
NEC,"Eukaryota, Oomycota, unk_class, Albuginales, Albuginaceae, Albugo, Albugo sp. YJC-2014",1,41,82.8,
NEC,"Eukaryota, Oomycota, unk_class, Myzocytiopsidales, Myzocytiopsidaceae, Chlamydomyzium, Chlamydomyzium dictyuchoides",2,19,86.2,
NEC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",1,421,82.2,
NEC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae, Pythium",1,9,82.2,
NEC,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae",2,669,84.35,
NEC,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, Saprolegnia, Saprolegnia eccentrica",1,62,87.1,
NEC,"Eukaryota, Rhodophyta, Bangiophyceae, Bangiales, Bangiaceae, Neoporphyra, Neoporphyra haitanensis",2,23,87.75,
NEC,"Eukaryota, Rhodophyta, Florideophyceae",1,83,81,
NEC,"Eukaryota, Rotifera, Eurotatoria, Ploima",2,9301,81.30000000000001,
NEC,"Eukaryota, Tubulinea, Elardia, Euamoebida",1,18,81,
NEC,"Eukaryota, unk_phylum, Dictyochophyceae, Pedinellales, unk_family, Pseudopedinella, Pseudopedinella elastica",1,11,88.3,
NEC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",6,1066,87,
NEC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, Nannochloropsis oceanica",1,56,82.2,
NMC,Eukaryota,2,1709,86.5,eucaryotes
NMC,"Eukaryota, Oomycota",1,9,82.2,
NMC,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",1,539,82.2,
NMC,"Eukaryota, Rotifera, Eurotatoria, Ploima",1,15,82.2,
NMC,"Eukaryota, unk_phylum, Bigyra, Bicosoecida, unk_family, Caecitellus, Caecitellus parvulus",1,27,83.4,
NMC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",6,12689,87,
NPB,Eukaryota,8,2475,84.5875,eucaryotes
NPB,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",5,183,84.52,
NPB,"Eukaryota, Arthropoda, Insecta, Diptera, Ceratopogonidae, Culicoides, Culicoides sonorensis",1,13,100,
NPB,"Eukaryota, Arthropoda, Insecta, Diptera, Chironomidae",1,37,98.7,nonbiting midges
NPB,"Eukaryota, Arthropoda, Insecta, Hemiptera, Lygaeidae",1,29,91.1,seed bugs
NPB,"Eukaryota, Arthropoda, Ostracoda, Podocopida, Cyprididae, Cyprideis, Cyprideis sp. RA01",1,10,80.3,
NPB,"Eukaryota, Bacillariophyta",2,214,83.1,diatoms
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia",1,26,88.3,
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia alba",1,28,84,marine diatom
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia sp. BOLD:AAO7110",1,37,86.5,
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Pleurosigmataceae, Pleurosigma, Pleurosigma inscriptura",6,4793,87.71666666666667,
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",1,50,87.1,
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira",1,196,90.2,
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira nordenskioeldii",1,8,85.9,
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",9,13750,94.62222222222222,
NPB,"Eukaryota, Bacillariophyta, Mediophyceae, Cymatosirales, Cymatosiraceae, Minutocellus, Minutocellus polymorphus",1,91,85.9,
NPB,"Eukaryota, Chlorophyta, Chlorodendrophyceae, Chlorodendrales, Chlorodendraceae, Scherffelia, Scherffelia dubia",2,12809,85,
NPB,"Eukaryota, Chlorophyta, Chlorodendrophyceae, Chlorodendrales, Chlorodendraceae, Tetraselmis, Tetraselmis subcordiformis",1,28,84,
NPB,"Eukaryota, Mollusca, Bivalvia, Galeommatida, Montacutidae, Kurtiella, Kurtiella bidentata",1,78,84,
NPB,"Eukaryota, Mollusca, Gastropoda, unk_order, Physidae, Physella",1,19,99.4,
NPB,"Eukaryota, Oomycota",5,612,83.2,
NPB,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",2,359,87.75,
NPB,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae, Pythium",1,9,82.2,
NPB,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, Saprolegnia, Saprolegnia eccentrica",1,26,87.1,
NPB,"Eukaryota, Rhodophyta, Florideophyceae",1,159,81,
NPB,"Eukaryota, Rotifera, Eurotatoria, Ploima, Brachionidae, Brachionus",1,142,96.8,
NPB,"Eukaryota, Rotifera, Eurotatoria, unk_order, unk_family, Rotaria",1,261,94.9,
NPB,"Eukaryota, Rotifera, Eurotatoria, unk_order, unk_family, Rotaria, Rotaria rotatoria",2,1721,92.05000000000001,
NPB,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",6,18174,86.6,
NPB,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, Nannochloropsis oceanica",1,9,87.7,
NPB1,Eukaryota,5,191,84.53999999999999,eucaryotes
NPB1,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",2,34,85.2,
NPB1,"Eukaryota, Arthropoda, Arachnida",1,41,82.2,arachnids
NPB1,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Daphniidae, Ceriodaphnia",1,1721,100,
NPB1,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Daphniidae, Daphnia, Daphnia sp. 1 SA-2003",2,314,95.2,
NPB1,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Daphniidae, Simocephalus",1,196,91.1,
NPB1,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Moinidae, Moina",1,8,97.5,
NPB1,"Eukaryota, Arthropoda, Insecta, Lepidoptera, Noctuidae, Homoglaea, Homoglaea dives",1,36,100,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia",1,16,80.4,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia sp. BOLD:AAO7110",1,11,88.3,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula, Navicula cryptocephala",1,97,90.2,
NPB1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,364,89.6,
NPB1,"Eukaryota, Discosea, unk_class, Longamoebia, Acanthamoebidae, Acanthamoeba, Acanthamoeba sp.",1,147,92.6,
NPB1,"Eukaryota, Mollusca, Bivalvia, Galeommatida, Montacutidae, Kurtiella, Kurtiella bidentata",4,4879,83.7,
NPB1,"Eukaryota, Oomycota",6,5515,87.1,
NPB1,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",3,198,92.2,
NPB1,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, Achlya, Achlya papillosa",1,9,82.8,
NPB1,"Eukaryota, Rotifera, Eurotatoria, Ploima, Lecanidae, Lecane, Lecane sp. bulla5",1,293,86,
NPB1,"Eukaryota, Rotifera, Eurotatoria, unk_order, unk_family, Rotaria, Rotaria rotatoria",1,110,98.7,
NPB1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",1,20,86.5,
NPB1,"Eukaryota, unk_phylum, Xanthophyceae",4,3139,83.725,yellow-green algae
NPB1,"Eukaryota, unk_phylum, Xanthophyceae, Mischococcales, Botryidiopsidaceae, Botrydiopsis, Botrydiopsis alpina",4,304,87.1,
NPB2,Eukaryota,1,345,87.1,eucaryotes
NPB2,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Daphniidae, Ceriodaphnia",2,4607,99.7,
NPB2,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Daphniidae, Ceriodaphnia, Ceriodaphnia sp. BOLD:AAB5055",1,72,100,
NPB2,"Eukaryota, Arthropoda, Hexanauplia, Cyclopoida, Cyclopidae, Acanthocyclops, Acanthocyclops americanus",1,14,100,
NPB2,"Eukaryota, Arthropoda, Insecta, Diptera, Culicidae, Culex",3,377,99.60000000000001,
NPB2,"Eukaryota, Arthropoda, Insecta, Diptera, Culicidae, Culiseta, Culiseta particeps",5,569,96.44,
NPB2,"Eukaryota, Arthropoda, Insecta, Diptera, Tipulidae, Tipula",1,24,96.2,
NPB2,"Eukaryota, Arthropoda, Malacostraca, Amphipoda, Hyalellidae, Hyalella, Hyalella azteca",2,72,100,
NPB2,"Eukaryota, Arthropoda, Ostracoda, Podocopida, Cyprididae",1,150,92.4,
NPB2,"Eukaryota, Cnidaria, Hydrozoa, Anthoathecata, Hydridae, Hydra, Hydra vulgaris",1,94,100,swiftwater hydra
NPB2,"Eukaryota, Mollusca, Bivalvia, Galeommatida, Montacutidae, Kurtiella, Kurtiella bidentata",1,756,84,
NPB2,"Eukaryota, Mollusca, Gastropoda, Littorinimorpha, Tateidae, Potamopyrgus, Potamopyrgus antipodarum",1,31,100,
NPB2,"Eukaryota, Mollusca, Gastropoda, unk_order, Physidae, Physella",4,1019,99.22500000000001,
NPB2,"Eukaryota, Mollusca, Gastropoda, unk_order, Physidae, Physella, Physella acuta",1,157,100,
NPB2,"Eukaryota, Rotifera, Eurotatoria, Ploima",1,27,82.2,
NPB2,"Eukaryota, Rotifera, Eurotatoria, unk_order, unk_family, Rotaria, Rotaria rotatoria",2,22,97.1,
NPB2,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",4,2346,86.95,
NVBR,Eukaryota,9,2583,83.57777777777778,eucaryotes
NVBR,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",14,6035,84.52857142857142,
NVBR,"Eukaryota, Arthropoda, Insecta, Diptera",3,6045,95.10000000000001,flies
NVBR,"Eukaryota, Arthropoda, Insecta, Diptera, Anthomyiidae, Delia",1,8,94.3,
NVBR,"Eukaryota, Bacillariophyta",4,840,84.025,diatoms
NVBR,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia cf. recta RT-2009",1,35,81,
NVBR,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula",1,9,86.5,
NVBR,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Rhizosoleniales, Rhizosoleniaceae, Rhizosolenia, Rhizosolenia setigera",1,11,89,
NVBR,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Skeletonemataceae, Skeletonema, Skeletonema menzelii",1,41,98.2,
NVBR,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira nordenskioeldii",1,108,85.9,
NVBR,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,55,100,
NVBR,"Eukaryota, Bacillariophyta, Mediophyceae, Cymatosirales, Cymatosiraceae, Minutocellus, Minutocellus polymorphus",4,104,88.05,
NVBR,"Eukaryota, Bacillariophyta, Mediophyceae, Hemiaulales, Hemiaulaceae, Eucampia, Eucampia zodiacus",2,64,85.6,
NVBR,"Eukaryota, Discosea, unk_class, Longamoebia, Acanthamoebidae, Acanthamoeba",2,197,92.94999999999999,
NVBR,"Eukaryota, Discosea, unk_class, Longamoebia, Acanthamoebidae, Acanthamoeba, Acanthamoeba sp.",2,422,93.3,
NVBR,"Eukaryota, Evosea, unk_class, unk_order, unk_family, Squamamoeba, Squamamoeba japonica",4,187,81.75,
NVBR,"Eukaryota, Haptista, Haptophyta, Isochrysidales, Isochrysidaceae, Isochrysis, Isochrysis galbana",3,85,81.60000000000001,
NVBR,"Eukaryota, Haptista, Haptophyta, Prymnesiales, Chrysochromulinaceae, Chrysochromulina, Chrysochromulina parva",1,18,80.4,
NVBR,"Eukaryota, Mollusca, Bivalvia, Galeommatida, Montacutidae, Kurtiella, Kurtiella bidentata",1,18,84,
NVBR,"Eukaryota, Oomycota",9,14971,82.27777777777777,
NVBR,"Eukaryota, Oomycota, unk_class, Albuginales, Albuginaceae, Albugo, Albugo sp. YJC-2014",1,192,82.8,
NVBR,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",2,234,83.45,
NVBR,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae",2,384,86.5,
NVBR,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, Saprolegnia, Saprolegnia eccentrica",2,33,86.8,
NVBR,"Eukaryota, Oomycota, unk_class, unk_order, Lagenaceae, Lagena, Lagena radicicola",1,14,82.2,
NVBR,"Eukaryota, Oomycota, unk_class, unk_order, unk_family, Haptoglossa",2,276,80.7,
NVBR,"Eukaryota, Rhodophyta, Bangiophyceae, Bangiales, Bangiaceae, Neoporphyra, Neoporphyra haitanensis",2,55,88.35,
NVBR,"Eukaryota, Rhodophyta, Florideophyceae",1,108,81,
NVBR,"Eukaryota, Rhodophyta, Florideophyceae, Ceramiales, Delesseriaceae, Phycodrys, Phycodrys isabellae",1,9,82.2,
NVBR,"Eukaryota, Rotifera, Eurotatoria, Ploima",1,82,82.2,
NVBR,"Eukaryota, Tubulinea, Elardia, Arcellinida, Hyalospheniidae",1,8,81,
NVBR,"Eukaryota, unk_phylum, Chrysophyceae, Chromulinales, Chromulinaceae, Pedospumella",1,29,87.1,
NVBR,"Eukaryota, unk_phylum, Dictyochophyceae, Pedinellales, unk_family, Pseudopedinella, Pseudopedinella elastica",2,38,85.6,
NVBR,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",6,3453,86.8,
NVBR,"Eukaryota, unk_phylum, Hyphochytriomycetes, unk_order, Hyphochytriaceae, Hyphochytrium, Hyphochytrium catenoides",1,15,80.4,
NVBR,"Eukaryota, unk_phylum, unk_class, unk_order, Apusomonadidae, Thecamonas, Thecamonas trahens",1,11,95.1,
NVP2,Eukaryota,10,1591,82.38,eucaryotes
NVP2,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",1,20,85.2,
NVP2,"Eukaryota, Arthropoda, Insecta, Odonata, Libellulidae, Sympetrum, Sympetrum corruptum",2,25,99.7,
NVP2,"Eukaryota, Arthropoda, Ostracoda, Podocopida",1,45,94.9,seed shrimps & mussel shrimps
NVP2,"Eukaryota, Chlorophyta",6,1755,82.9,green algae
NVP2,"Eukaryota, Chlorophyta, Chlorodendrophyceae, Chlorodendrales, Chlorodendraceae, Tetraselmis, Tetraselmis subcordiformis",5,610,83.28,
NVP2,"Eukaryota, Chlorophyta, Chloropicophyceae, Chloropicales, Chloropicaceae, Chloropicon",1,15,82.8,
NVP2,"Eukaryota, Chlorophyta, Mamiellophyceae, Dolichomastigales, Dolichomastigaceae, Dolichomastix, Dolichomastix tenuilepis",1,12,84.7,
NVP2,"Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, Monomastix minuta",1,11,89,
NVP2,"Eukaryota, Oomycota, unk_class, unk_order, unk_family, Haptoglossa",1,8,84.7,
NVP2,"Eukaryota, Streptophyta, Coleochaetophyceae, Coleochaetales, Chaetosphaeridiaceae, Chaetosphaeridium, Chaetosphaeridium globosum",1,20,81.6,
NVP2,"Eukaryota, unk_phylum, Dictyochophyceae, Pedinellales, unk_family, Pseudopedinella, Pseudopedinella elastica",2,119,84.65,
NVP2,"Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus",4,898,84.17500000000001,
NVP2,"Eukaryota, unk_phylum, Xanthophyceae, Mischococcales, Botryidiopsidaceae, Botrydiopsis, Botrydiopsis alpina",3,1068,84.66666666666667,
NVP4,Eukaryota,7,2116,81,eucaryotes
NVP4,"Eukaryota, Arthropoda",1,158,80.9,arthropods
NVP4,"Eukaryota, Arthropoda, Arachnida, Mesostigmata",2,19,80.7,
NVP4,"Eukaryota, Arthropoda, Branchiopoda, Diplostraca, Moinidae, Moina",1,33,87.9,
NVP4,"Eukaryota, Arthropoda, Collembola, Entomobryomorpha, Entomobryidae",1,10,89.8,
NVP4,"Eukaryota, Arthropoda, Insecta, Diptera, Chironomidae, Tanytarsus",1,36,100,
NVP4,"Eukaryota, Arthropoda, Ostracoda, Podocopida",1,10,94.9,seed shrimps & mussel shrimps
NVP4,"Eukaryota, Chlorophyta, Mamiellophyceae, Dolichomastigales, Dolichomastigaceae, Dolichomastix, Dolichomastix tenuilepis",1,33,84.7,
NVP4,"Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, Monomastix minuta",1,185,86.5,
NVP4,"Eukaryota, Evosea, unk_class, unk_order, unk_family, Squamamoeba, Squamamoeba japonica",1,35,84,
NVP4,"Eukaryota, Oomycota",3,171,83.46666666666667,
NVP4,"Eukaryota, Oomycota, unk_class, Albuginales, Albuginaceae, Albugo, Albugo sp. YJC-2014",1,38,82.8,
NVP4,"Eukaryota, Oomycota, unk_class, Myzocytiopsidales, Myzocytiopsidaceae, Myzocytiopsis, Myzocytiopsis osiris",1,26,92.6,
NVP4,"Eukaryota, Oomycota, unk_class, Peronosporales, Peronosporaceae, Phytophthora",1,11,82.8,
NVP4,"Eukaryota, Oomycota, unk_class, Peronosporales, Pontismataceae, Pontisma, [Olpidiopsis] porphyrae var. scotiae (nom. inval.)",1,10,80.4,
NVP4,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae, Globisporangium, Globisporangium canariense",1,8,82.2,
NVP4,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae",1,17,82.2,
NVP4,"Eukaryota, Oomycota, unk_class, unk_order, unk_family, Haptoglossa",1,187,81.6,
NVP4,"Eukaryota, Oomycota, unk_class, unk_order, unk_family, Haptoglossa, Haptoglossa sp. DM2 4/12",1,8,83.4,
NVP4,"Eukaryota, Oomycota, unk_class, unk_order, unk_family, Haptoglossa, Haptoglossa sp. SL32",2,39,83.75,
NVP4,"Eukaryota, Rhodophyta, Florideophyceae",1,325,81.6,
NVP4,"Eukaryota, Rotifera, Eurotatoria, Ploima, Synchaetidae, Polyarthra, Polyarthra dolichoptera",1,24,87.9,
