"","date","year","season","site","breach_status","site_type","sample_type","filter_method","season_samples","year_samples","site_samples","flies","boaters","mites","crustaceans","worms","mollusks","beetles","springtail","dragonfly","larvae","ept","total"
"86",2018-04-27,2018,"spring","NMC","post-breach","slough","CORE",NA,15,22,6,61,10,0,245,0,0,0,0,0,0,0,316
"87",2018-04-27,2018,"spring","NEC","post-breach","slough","CORE",NA,15,22,7,20,0,0,203,0,0,0,0,0,0,0,223
"88",2018-12-30,2018,"winter","NVBR","closed","slough","CORE",NA,8,22,6,122,0,0,224,0,0,0,0,0,0,0,346
"89",2018-12-30,2018,"winter","NEC","closed","slough","CORE",NA,8,22,7,41,0,0,571,0,0,0,0,0,0,0,612
"90",2018-12-30,2018,"winter","NMC","closed","slough","CORE",NA,8,22,6,0,0,0,285,0,0,0,0,0,0,0,285
"91",2018-12-30,2018,"winter","NPB","closed","slough","CORE",NA,8,22,8,71,0,0,2273,0,0,0,0,0,0,0,2344
"92",2018-09-28,2018,"fall","NPB","closed","slough","CORE",NA,13,22,8,30,51,0,642,0,0,0,0,0,0,0,723
"93",2018-12-30,2018,"winter","NDC","closed","slough","CORE",NA,8,22,3,285,0,0,30,0,0,0,0,0,0,0,315
"94",2018-12-30,2018,"winter","NWP","closed","slough","CORE",NA,8,22,5,693,0,0,622,0,0,0,0,0,0,0,1315
"95",2018-03-19,2018,"spring","NPB","closed","slough","CORE",NA,15,22,8,0,0,0,61,0,0,0,0,0,0,0,61
"96",2018-03-19,2018,"spring","NWP","closed","slough","CORE",NA,15,22,5,51,0,0,61,0,0,0,0,0,0,0,112
"97",2018-03-19,2018,"spring","NEC","closed","slough","CORE",NA,15,22,7,0,0,0,438,0,0,0,0,0,0,0,438
"98",2018-04-20,2018,"spring","NVP4","post-breach","pool","CORE",NA,15,22,NA,153,10,0,1142,0,0,0,0,0,0,0,1305
"99",2018-04-20,2018,"spring","NVP2","post-breach","pool","CORE",NA,15,22,NA,92,0,0,122,0,0,0,0,0,0,0,214
"100",2019-01-30,2019,"winter","NVP4","tidal","pool","CORE",NA,8,34,NA,77,0,0,110,0,0,0,0,0,0,0,187
"101",2019-02-07,2019,"winter","NVP2","tidal","pool","CORE",NA,8,34,NA,66,0,0,516,0,0,11,0,0,0,0,593
"102",2019-04-09,2019,"spring","NPB","post-breach","slough","CORE",NA,15,34,8,0,0,0,505,44,0,0,0,0,0,0,549
"103",2019-04-09,2019,"spring","NWP","post-breach","slough","CORE",NA,15,34,5,0,0,0,198,176,77,0,0,0,0,0,451
"104",2019-04-10,2019,"spring","NEC","post-breach","slough","CORE",NA,15,34,7,0,0,0,363,99,0,0,0,0,0,0,462
"105",2019-04-10,2019,"spring","NMC","post-breach","slough","CORE",NA,15,34,6,0,11,0,143,714,0,0,0,0,0,0,868
"106",2019-04-11,2019,"spring","CUL1","post-breach","slough","CORE",NA,15,34,6,0,11,0,681,944,0,11,0,0,0,0,1647
"107",2019-04-11,2019,"spring","MO1","post-breach","slough","CORE",NA,15,34,6,0,0,0,560,516,0,0,0,0,0,0,1076
"108",2019-04-14,2019,"spring","NVBR","post-breach","slough","CORE",NA,15,34,6,33,11,0,758,0,0,11,0,0,0,0,813
"109",2019-04-14,2019,"spring","VBR1","post-breach","slough","CORE",NA,15,34,6,11,0,0,99,802,0,0,0,0,0,0,912
"110",2019-04-18,2019,"spring","DSP","post-breach","pool","CORE",NA,15,34,NA,22,0,0,999,77,0,0,55,0,0,0,1153
"111",2019-04-18,2019,"spring","NDC","post-breach","slough","CORE",NA,15,34,3,0,0,0,1109,11,0,0,0,0,0,0,1120
"112",2019-05-01,2019,"spring","NVP2","post-breach","pool","CORE",NA,15,34,NA,0,0,0,0,22,0,0,0,0,0,0,22
"113",2019-05-01,2019,"spring","NVP4","post-breach","pool","CORE",NA,15,34,NA,22,0,0,450,11,0,0,0,0,0,0,483
"114",2019-06-27,2019,"summer","MO1","closed","slough","CORE",NA,20,34,6,88,0,0,846,11,0,0,0,0,0,0,945
"115",2019-06-27,2019,"summer","NDC","closed","slough","CORE",NA,20,34,3,11,0,0,209,242,44,0,0,0,0,0,506
"116",2019-06-27,2019,"summer","NWP","closed","slough","CORE",NA,20,34,5,0,0,0,209,0,0,0,0,0,0,0,209
"117",2019-07-01,2019,"summer","NPB","closed","slough","CORE",NA,20,34,8,0,22,0,0,11,0,0,0,0,0,0,33
"118",2019-07-02,2019,"summer","NVBR","closed","slough","CORE",NA,20,34,6,0,0,0,154,0,0,0,0,0,0,0,154
"119",2019-07-02,2019,"summer","VBR1","closed","slough","CORE",NA,20,34,6,0,0,0,0,11,0,0,0,0,0,0,11
"120",2019-07-11,2019,"summer","DSP","closed","pool","CORE",NA,20,34,NA,0,11,0,33,0,0,0,0,0,0,0,44
"121",2019-07-12,2019,"summer","CUL1","closed","slough","CORE",NA,20,34,6,0,44,0,0,0,0,0,0,0,0,0,44
"122",2019-08-01,2019,"summer","NEC","closed","slough","CORE",NA,20,34,7,44,0,0,55,33,0,0,0,0,0,0,132
"123",2019-08-01,2019,"summer","NMC","closed","slough","CORE",NA,20,34,6,11,0,0,373,0,0,0,0,0,0,0,384
"124",2019-08-01,2019,"summer","NPB","closed","slough","CORE",NA,20,34,8,264,0,0,77,77,0,11,0,0,33,0,495
"125",2019-08-01,2019,"summer","NWP","closed","slough","CORE",NA,20,34,5,11,0,0,0,0,11,0,0,110,0,0,132
"126",2019-08-02,2019,"summer","CUL1","closed","slough","CORE",NA,20,34,6,0,11,0,0,0,0,0,0,0,0,0,11
"127",2019-08-02,2019,"summer","MO1","closed","slough","CORE",NA,20,34,6,0,0,0,121,132,0,0,0,0,0,0,253
"128",2019-08-02,2019,"summer","NVBR","closed","slough","CORE",NA,20,34,6,0,22,0,0,0,0,0,0,0,0,0,22
"129",2019-08-02,2019,"summer","VBR1","closed","slough","CORE",NA,20,34,6,0,11,0,66,0,0,0,0,0,0,0,77
"130",2019-08-03,2019,"summer","DSP","closed","pool","CORE",NA,20,34,NA,55,0,0,33,0,0,0,0,0,0,0,88
"131",2019-10-21,2019,"fall","NPB","closed","slough","CORE",NA,13,34,8,33,0,0,33,0,0,0,0,0,0,0,66
"132",2019-10-21,2019,"fall","NVBR","closed","slough","CORE",NA,13,34,6,0,0,0,44,0,0,0,0,0,0,0,44
"133",2019-10-21,2019,"fall","VBR1","closed","slough","CORE",NA,13,34,6,0,0,0,55,0,0,0,0,0,0,0,55
"134",2019-10-25,2019,"fall","CUL1","closed","slough","CORE",NA,13,34,6,11,0,0,11,0,0,22,0,0,0,0,44
"135",2019-10-29,2019,"fall","DSP","closed","pool","CORE",NA,13,34,NA,44,0,0,55,0,0,0,0,0,0,0,99
"136",2019-10-29,2019,"fall","MO1","closed","slough","CORE",NA,13,34,6,0,0,0,110,22,0,0,0,0,0,0,132
"137",2019-10-31,2019,"fall","NEC","closed","slough","CORE",NA,13,34,7,0,11,0,11,0,0,0,0,0,0,0,22
"138",2019-10-31,2019,"fall","NMC","closed","slough","CORE",NA,13,34,6,0,0,0,0,0,0,0,0,0,0,0,0
"139",2019-01-27,2019,"winter","VWCB6","tidal","pool","CORE",NA,8,34,NA,0,0,0,22,0,0,0,0,0,0,0,22
"140",2019-01-27,2019,"winter","VDSN","tidal","pool","CORE",NA,8,34,NA,0,0,0,11,0,0,0,0,0,0,0,11
"141",2019-01-28,2019,"winter","VP1","tidal","pool","CORE",NA,8,34,NA,0,0,0,0,0,0,0,11,0,0,0,11
"142",2019-02-08,2019,"winter","VNVP10","tidal","pool","CORE",NA,8,34,NA,55,0,0,55,11,0,0,0,0,0,0,121
"143",2019-02-11,2019,"winter","VCC7","tidal","pool","CORE",NA,8,34,NA,0,0,0,44,44,0,0,0,0,0,0,88
"144",2019-02-11,2019,"winter","VM7","tidal","pool","CORE",NA,8,34,NA,0,0,0,220,0,0,0,33,0,0,0,253
"145",2019-02-11,2019,"winter","VOW1","tidal","pool","CORE",NA,8,34,NA,0,0,0,11,0,0,0,0,0,0,0,11
"146",2019-03-07,2019,"spring","VMMesa","tidal","pool","CORE",NA,15,34,NA,0,0,0,0,44,0,0,0,0,0,0,44
"147",2019-04-08,2019,"spring","VP1","post-breach","pool","CORE",NA,15,34,NA,0,0,0,1065,0,0,0,0,0,0,0,1065
"148",2019-04-10,2019,"spring","VCC7","post-breach","pool","CORE",NA,15,34,NA,11,0,0,165,0,0,0,0,0,0,0,176
"149",2019-04-10,2019,"spring","VDSN","post-breach","pool","CORE",NA,15,34,NA,286,0,0,99,362,0,0,0,0,0,0,747
"150",2019-05-01,2019,"spring","VNVP10","post-breach","pool","CORE",NA,15,34,NA,99,0,0,0,11,0,0,11,0,0,0,121
"151",2019-05-02,2019,"spring","VM3","post-breach","pool","CORE",NA,15,34,NA,0,0,0,33,0,0,0,0,0,0,0,33
"152",2019-10-25,2019,"fall","PIER","closed","slough","CORE",NA,13,34,1,0,0,0,55,22,0,0,0,0,0,0,77
"153",2019-11-25,2019,"fall","NPB2","closed","slough","CORE",NA,13,34,1,44,0,0,209,0,0,0,0,0,0,0,253
"154",2019-11-25,2019,"fall","NPB1","closed","slough","CORE",NA,13,34,1,0,0,0,33,11,0,0,0,0,0,0,44
"155",2019-01-24,2019,"winter","MO1","tidal","slough","FB250","7.5 liters",55,86,26,0,0,0,0.7,0,0,0,0,0,0,0,0.7
"156",2019-01-28,2019,"winter","CUL1","tidal","slough","FB250","7.5 liters",55,86,24,0.9,9.1,0.5,30.3,0,0,0,0.3,0,0,0,41.1
"157",2019-01-30,2019,"winter","NVP4","tidal","pool","FB250","7.5 liters",55,86,NA,0.9,0,0,19.3,0,0,0,0,0,0,0,20.2
"158",2019-02-06,2019,"winter","DSP","tidal","pool","FB250","7.5 liters",55,86,NA,1.3,0,0,45.2,0,0,0,0.4,0,0,0,46.9
"159",2019-02-06,2019,"winter","NEC","tidal","slough","FB250","7.5 liters",55,86,24,0,0.3,0,12,0,0,0,1.2,0,0,0,13.5
"160",2019-02-06,2019,"winter","NMC","tidal","slough","FB250","7.5 liters",55,86,21,0,0.5,0,40.7,0,0,0,0,0,0,0,41.2
"161",2019-02-06,2019,"winter","NVBR","tidal","slough","FB250","7.5 liters",55,86,23,0,0,0,1.2,0,0,0,0,0,0,0,1.2
"162",2019-02-06,2019,"winter","VBR1","tidal","slough","FB250","7.5 liters",55,86,15,0,0,0,0.8,0,0,0,0,0,0,0,0.8
"163",2019-02-07,2019,"winter","NVP2","tidal","pool","FB250","7.5 liters",55,86,NA,2.9,0,0,410.1,0.1,0,0,0.1,0,0,0,413.2
"164",2019-02-18,2019,"winter","NDC","tidal","slough","FB250","7.5 liters",55,86,12,0.1,0,0,43.3,0,0,0,0.4,0,0,0,43.8
"165",2019-02-18,2019,"winter","NPB","tidal","slough","FB250","7.5 liters",55,86,23,0,0,0,0.2,0,0,0.1,0,0,0,0,0.3
"166",2019-03-11,2019,"spring","CUL1","tidal","slough","FB250","7.5 liters",63,86,24,0,0,0,86.2,0,0,0,0,0,0,0,86.2
"167",2019-03-11,2019,"spring","MO1","tidal","slough","FB250","7.5 liters",63,86,26,0,1.5,0,392.4,8.4,0,0,0,0,0,0,402.3
"168",2019-03-11,2019,"spring","NVBR","tidal","slough","FB250","7.5 liters",63,86,23,0,6.8,0,6.2,0,0,0,0,0,0,0,13
"169",2019-03-11,2019,"spring","VBR1","tidal","slough","FB250","7.5 liters",63,86,15,0,1.1,0,3.8,0.4,0,0,0,0,0,0,5.3
"170",2019-03-13,2019,"spring","DSP","tidal","pool","FB250","7.5 liters",63,86,NA,0,0.1,0.5,595.3,0,0,0.5,0.5,0,0,0,596.9
"171",2019-03-13,2019,"spring","NMC","tidal","slough","FB250","7.5 liters",63,86,21,0,0,0,14.4,0,0,0,0,0,0,0,14.4
"172",2019-03-13,2019,"spring","NPB","tidal","slough","FB250","7.5 liters",63,86,23,0.3,0,0,3.9,0,0,0,0,0,0,0,4.2
"173",2019-03-13,2019,"spring","NWP","tidal","slough","FB250","7.5 liters",63,86,14,0,0,0.1,339.1,0,0.4,0,0,0,0,0,339.6
"174",2019-03-15,2019,"spring","NEC","tidal","slough","FB250","7.5 liters",63,86,24,1.6,30.3,0,274.6,0,0,0,0,0,0,0,306.5
"175",2019-04-09,2019,"spring","NPB","post-breach","slough","FB250","7.5 liters",63,86,23,0,0.8,0,54.9,0,0,0,0,0,0,0,55.7
"176",2019-04-09,2019,"spring","NWP","post-breach","slough","FB250","7.5 liters",63,86,14,0,0.3,0,1387.4,0,3.7,1.3,3.6,0,0,0,1396.3
"177",2019-04-10,2019,"spring","NEC","post-breach","slough","FB250","7.5 liters",63,86,24,0,0.7,0,23.6,0.3,0,0,0,0,0,0,24.6
"178",2019-04-10,2019,"spring","NMC","post-breach","slough","FB250","7.5 liters",63,86,21,0,0.8,0,2.4,0,0,0,0,0,0,0,3.2
"179",2019-04-11,2019,"spring","CUL1","post-breach","slough","FB250","7.5 liters",63,86,24,0.1,8.9,0,21.9,0.4,0,0,0,0,0,0,31.3
"180",2019-04-11,2019,"spring","MO1","post-breach","slough","FB250","7.5 liters",63,86,26,0,0.4,0,11.3,0,0,0,0,0,0,0,11.7
"181",2019-04-14,2019,"spring","NVBR","post-breach","slough","FB250","7.5 liters",63,86,23,0,1.3,0,11.9,0,0,0,0.1,0,0,0,13.3
"182",2019-04-14,2019,"spring","VBR1","post-breach","slough","FB250","7.5 liters",63,86,15,0,1.9,0.1,5.2,0,0,0,0.3,0,0,0,7.5
"183",2019-04-18,2019,"spring","NDC","post-breach","slough","FB250","7.5 liters",63,86,12,0,0.1,0,66.2,0,0.1,0,0,0,0,0,66.4
"184",2019-05-01,2019,"spring","NVP2","post-breach","pool","FB250","7.5 liters",63,86,NA,0,0.1,0,39.2,0,0,0,0,0,0,0,39.3
"185",2019-05-01,2019,"spring","NVP4","post-breach","pool","FB250","7.5 liters",63,86,NA,0,0,0,220.1,0,0,0,0,0,0,0,220.1
"186",2019-05-23,2019,"spring","CUL1","closed","slough","FB250","7.5 liters",63,86,24,0.6,16.9,0,1.9,0,0,0.1,0.3,0,0,0,19.8
"187",2019-05-23,2019,"spring","MO1","closed","slough","FB250","7.5 liters",63,86,26,0,1.1,0,0.8,0,0,0,0.1,0,0,0,2
"188",2019-05-23,2019,"spring","NEC","closed","slough","FB250","7.5 liters",63,86,24,0,2.1,0,0.1,0,0,0,0,0,0,0,2.2
"189",2019-05-23,2019,"spring","NMC","closed","slough","FB250","7.5 liters",63,86,21,0,0.5,0,0.1,0,0,0,0,0,0,0,0.6
"190",2019-05-23,2019,"spring","NVBR","closed","slough","FB250","7.5 liters",63,86,23,0,0,0,0,0.1,0,0,0,0,0,0,0.1
"191",2019-05-23,2019,"spring","VBR1","closed","slough","FB250","7.5 liters",63,86,15,0,0,0,0,0,0,0,0,0,0,0,0
"192",2019-05-24,2019,"spring","NDC","closed","slough","FB250","7.5 liters",63,86,12,0.4,0,0,13.3,0,0,0,0,0,0,0,13.7
