Date on Vial,Site,Person entering data,Person that sorted the sample,Sample Type,Ostracod,Copepod,Hemiptera: Corixidae (boatman),Cladocera,Nematode,Diptera - TOTAL,Dipteran sp.,Diptera: Chironomid ,Diptera: Ceratopogonidae,Diptera: Culicidae,Diptera: Ephydridae,Diptera: Stratiomyidae,Amphipod,Lepidoptera-Crambidae,Hemiptera  TOTAL,Hemiptera-Mesoveliidae,Hemiptera-Notonectidae,Annelida TOTAL,Annelida Sp.,Annelida: Oligochaete,Annelida: Polychaete,Ephemeroptera,Odonate,Coleoptera - TOTAL,Coleoptera sp.,Coleoptera: Dytiscidae,Coleoptera: Dytiscidae: Liodessus affinis,Coleoptera: Dytiscidae: Agabus,Coleoptera: Dytiscidae: Colymbetinae,Coleoptera: Curculionidae  (Weavil),Coleoptera - Hydrophilidae,Coleoptera - Tropiscernus,Coleoperta Hydraenidae,Coleoptera- Gyrindae- Gyrinini,Ephemeroptera Sp.,Tipulidae Larva,Plecoptera Sp.,Arachnida: Acari  (mite),Trichoptera Sp.,Collembola (Springtail),Gastropod - snail,Mollusk,Syrphidae,Terrestrials,Clam Shrimp,hydrachnidia,Isopod,Unknown,larvae,Total #,Comments,
1-Sep-21,NPB 2 ,Lauren S,Lauren S,FB250,0,3,0,2,0,260,,,,260,,,1,,,,,,,,,4,,5,,,,,,,,,,,,,,,,81,,,,,,,,,,359,There is one that we could not yet identify -- species X in separate tube. There were also 2 terrestrials in this sample ,
23-Sep-21,MO1,Alison R,Brooke,FB 250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,0,,
12-Nov-21,NPB,Lauren Stiles ,Lawrence L,FB250 ,594,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,
16-Nov-21,NPB,Lawrence L,Lawrence L,FB250,541,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,Not sure if there are other species in the waste vial,
17-Nov-21,CUL1,ALison R,Elise R,FB250,,133,169,,,,,2,0,,77,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,103,,,
19-Nov-21,MO1,Alison R,Ingrid,FB250,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-21,NPB 2 ,Ingrid,Ingrid,FB250,0,0,0,1,0,33,0,0,0,2,0,0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replicate bottle,
23-Nov-21,NPB2,Justin H,Justin H,FB250,2,52,2,4,,19,,1,,17,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,17,,,,,,,,
14-Jan-22,CVP1,Alison R,Sam Daley,FB250,14,162,,24,,,,8,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,19,,,,8,,35,,,,,,
20-Jan-22,NVP4,Ingrid,Ingrid,FB250,21,31,,"2,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replica,
20-Jan-22,NVP4,Dakota Tyson,Graham I,FB250,186,27,0,"3,456",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,
21-Jan-22,NEV,Lauren Stiles,Olivia T and Sam D,FB250,,735,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan-22,NEC,Lauren Stiles ,Ingrid,FB250 ,1,392,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-22,NDC,Justin H,Theresa N,FB250,,26,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,half-sample,
28-Jan-22,NWP,Justin H,Ingrid S,CORE: cm 3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-22,NDC - half sample,Lauren Stiles,Lauren Stiles,FB250,71,303,,"2,844",,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,3,,,,,,,half sample,
28-Jan-22,NWP,Lawrence L,Lawrence L,FB250,158,131,,"6,909",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
21-Feb-22,NPB,Lauren  Stiles,McKenzie ,FB250,10,176,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,"one ant, one springtail for terrestrials ",
22-Feb-22,CUL1,Lauren Stiles ,Theresa N and Sam D ,FB250 ,,612,,,,9,1,,6,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,8,,,,,,,"the one under ""diptera sp."" is a dolichopodidae",
23-Feb-22,NVBR,Justin H,Justin H,FB250,,"2,758",,,,,,,3,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Feb-22,NPB1,Alison R,Unknown,FB250,,156,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,
25-Feb-22,NEC,Ingrid,Ingrid,FB250,0,392,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Feb-22,PIER,Alison R,Dakota,FB250,,"1,519",,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Feb-22,PIER,Alison R,Lauren Hall,CORE 3-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
5-May-22,NEC,Lauren Stiles,Sam D ,FB250,2,63,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,winged terrestrial ,
6-May-22,NMC,Alison R,Kristen R,FB250,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-22,MO1,Alison R,Dakota,FB250,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-22,NDC,Lauren  Stiles,Dakota T,FB250,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-22,NWP,Alison R,Vivian Liang,FB250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-22,NPB2,Lauren Stiles,Wanzhou F,FB250,"8,985",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,e
12-May-22,NPB,Alison R,Dakota Tyson,FB 250,8,59,11,5,,,,1,,,,,,,,,35,,,1,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May-22,NVBR,Alison R,Molly Tang,FB 250,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,
9-Aug-22,PIER,Alison R,Brody Regan,FB250,1,4,,2,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-22,NEC,Lauren Stiles ,Vivian Liang ,FB250,,6,3,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
15-Aug-22,NWC,Lauren Stiles ,Vivian Liang,FB250,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-22,CUL1,Alison R,Vivian Liang,FB250,,1,217,3,,,,1,11,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,62,,,,,,,,
26-Aug-22,MO1,Alison R,Vivian Liang,FB250,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,PIER,Alison R,Jaya,FB250,1,3,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,,,
19-Nov-22,NPB1,Alison R,Lauren Hall,FB250,15,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Sept-21,CUL1,Lauren S ,Weijun S and Steven L ,FB250,,,14,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,69,,,,,,,,
28-Jan-22,NWP ,Lauren S ,Kristen R ,CORE 3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no organisms found ,
1-Sep-21,NPB2,Lauren S ,Lauren S ,FB250 ,,3,,3,,,,,,260,,,1,,,,,,,,,4,,,,5,,,,,,,,,,,,,,81,,,,2,,,,,,,,
10-Aug-22,NPB  ,Lauren S ,Emily B ,FB250 ,20,5,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-22,CUL1 ,Lauren S ,Belen ,FB250 ,,393,393,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12-Nov-22,NEC,Lauren S,Valeria E,FB250 ,,566,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11-Nov-22,MO1,Lauren S ,Kristen R ,FB250 ,2,,,,,,,,43,,,1,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
12-May-22,NPB2,Lauren S,Lauren S,FB250,,177,,"3,708",,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,
