"","date","season","site","site_type","sample_type","group","organisms_L"
"144",2018-04-11,"spring","MO1","slough","FB250","ept",0
"145",2018-05-08,"spring","MO1","slough","FB250","flies",0
"146",2018-05-08,"spring","MO1","slough","FB250","boaters",1
"147",2018-05-08,"spring","MO1","slough","FB250","mites",0
"148",2018-05-08,"spring","MO1","slough","FB250","crustaceans",37
"149",2018-05-08,"spring","MO1","slough","FB250","worms",0
"150",2018-05-08,"spring","MO1","slough","FB250","mollusks",0
"151",2018-05-08,"spring","MO1","slough","FB250","beetles",0
"152",2018-05-08,"spring","MO1","slough","FB250","larvae",0
"153",2018-05-08,"spring","MO1","slough","FB250","ept",0
"154",2018-06-07,"summer","MO1","slough","FB250","flies",0
"155",2018-06-07,"summer","MO1","slough","FB250","boaters",1
"156",2018-06-07,"summer","MO1","slough","FB250","mites",0
"157",2018-06-07,"summer","MO1","slough","FB250","crustaceans",9
"158",2018-06-07,"summer","MO1","slough","FB250","worms",0
"159",2018-06-07,"summer","MO1","slough","FB250","mollusks",0
"160",2018-06-07,"summer","MO1","slough","FB250","beetles",0
"161",2018-06-07,"summer","MO1","slough","FB250","larvae",0
"162",2018-06-07,"summer","MO1","slough","FB250","ept",0
"163",2018-08-06,"summer","MO1","slough","FB250","flies",0
"164",2018-08-06,"summer","MO1","slough","FB250","boaters",0
"165",2018-08-06,"summer","MO1","slough","FB250","mites",0
"166",2018-08-06,"summer","MO1","slough","FB250","crustaceans",0
"167",2018-08-06,"summer","MO1","slough","FB250","worms",0
"168",2018-08-06,"summer","MO1","slough","FB250","mollusks",0
"169",2018-08-06,"summer","MO1","slough","FB250","beetles",0
"170",2018-08-06,"summer","MO1","slough","FB250","larvae",0
"171",2018-08-06,"summer","MO1","slough","FB250","ept",0
"172",2018-10-19,"fall","MO1","slough","FB250","flies",0
"173",2018-10-19,"fall","MO1","slough","FB250","boaters",408
"174",2018-10-19,"fall","MO1","slough","FB250","mites",0
"175",2018-10-19,"fall","MO1","slough","FB250","crustaceans",5
"176",2018-10-19,"fall","MO1","slough","FB250","worms",0
"177",2018-10-19,"fall","MO1","slough","FB250","mollusks",0
"178",2018-10-19,"fall","MO1","slough","FB250","beetles",0
"179",2018-10-19,"fall","MO1","slough","FB250","larvae",0
"180",2018-10-19,"fall","MO1","slough","FB250","ept",0
"181",2018-12-07,"winter","MO1","slough","FB250","flies",0
"182",2018-12-07,"winter","MO1","slough","FB250","boaters",24
"183",2018-12-07,"winter","MO1","slough","FB250","mites",0
"184",2018-12-07,"winter","MO1","slough","FB250","crustaceans",2
"185",2018-12-07,"winter","MO1","slough","FB250","worms",0
"186",2018-12-07,"winter","MO1","slough","FB250","mollusks",0
"187",2018-12-07,"winter","MO1","slough","FB250","beetles",0
"188",2018-12-07,"winter","MO1","slough","FB250","larvae",0
"189",2018-12-07,"winter","MO1","slough","FB250","ept",0
"190",2018-03-19,"spring","NDC","slough","FB250","flies",0
"191",2018-03-19,"spring","NDC","slough","FB250","boaters",0
"192",2018-03-19,"spring","NDC","slough","FB250","mites",0
"193",2018-03-19,"spring","NDC","slough","FB250","crustaceans",5
"194",2018-03-19,"spring","NDC","slough","FB250","worms",0
"195",2018-03-19,"spring","NDC","slough","FB250","mollusks",0
"196",2018-03-19,"spring","NDC","slough","FB250","beetles",0
"197",2018-03-19,"spring","NDC","slough","FB250","larvae",0
"198",2018-03-19,"spring","NDC","slough","FB250","ept",0
"199",2018-04-12,"spring","NDC","slough","FB250","flies",0
"200",2018-04-12,"spring","NDC","slough","FB250","boaters",0
"201",2018-04-12,"spring","NDC","slough","FB250","mites",0
"202",2018-04-12,"spring","NDC","slough","FB250","crustaceans",520
"203",2018-04-12,"spring","NDC","slough","FB250","worms",0
"204",2018-04-12,"spring","NDC","slough","FB250","mollusks",0
"205",2018-04-12,"spring","NDC","slough","FB250","beetles",0
"206",2018-04-12,"spring","NDC","slough","FB250","larvae",0
"207",2018-04-12,"spring","NDC","slough","FB250","ept",0
"208",2018-06-04,"summer","NDC","slough","FB250","flies",5
"209",2018-06-04,"summer","NDC","slough","FB250","boaters",0
"210",2018-06-04,"summer","NDC","slough","FB250","mites",0
"211",2018-06-04,"summer","NDC","slough","FB250","crustaceans",4
"212",2018-06-04,"summer","NDC","slough","FB250","worms",0
"213",2018-06-04,"summer","NDC","slough","FB250","mollusks",0
"214",2018-06-04,"summer","NDC","slough","FB250","beetles",0
"215",2018-06-04,"summer","NDC","slough","FB250","larvae",0
"216",2018-06-04,"summer","NDC","slough","FB250","ept",0
"217",2018-12-30,"winter","NDC","slough","FB250","flies",0
"218",2018-12-30,"winter","NDC","slough","FB250","boaters",7
"219",2018-12-30,"winter","NDC","slough","FB250","mites",0
"220",2018-12-30,"winter","NDC","slough","FB250","crustaceans",346
"221",2018-12-30,"winter","NDC","slough","FB250","worms",0
"222",2018-12-30,"winter","NDC","slough","FB250","mollusks",0
"223",2018-12-30,"winter","NDC","slough","FB250","beetles",0
"224",2018-12-30,"winter","NDC","slough","FB250","larvae",0
"225",2018-12-30,"winter","NDC","slough","FB250","ept",0
"226",2018-03-07,"spring","NEC","slough","FB250","flies",0
"227",2018-03-07,"spring","NEC","slough","FB250","boaters",0
"228",2018-03-07,"spring","NEC","slough","FB250","mites",0
"229",2018-03-07,"spring","NEC","slough","FB250","crustaceans",76
"230",2018-03-07,"spring","NEC","slough","FB250","worms",0
"231",2018-03-07,"spring","NEC","slough","FB250","mollusks",0
"232",2018-03-07,"spring","NEC","slough","FB250","beetles",0
"233",2018-03-07,"spring","NEC","slough","FB250","larvae",0
"234",2018-03-07,"spring","NEC","slough","FB250","ept",0
"235",2018-03-19,"spring","NEC","slough","FB250","flies",0
"236",2018-03-19,"spring","NEC","slough","FB250","boaters",0
"237",2018-03-19,"spring","NEC","slough","FB250","mites",0
"238",2018-03-19,"spring","NEC","slough","FB250","crustaceans",1
"239",2018-03-19,"spring","NEC","slough","FB250","worms",0
"240",2018-03-19,"spring","NEC","slough","FB250","mollusks",0
"241",2018-03-19,"spring","NEC","slough","FB250","beetles",0
"242",2018-03-19,"spring","NEC","slough","FB250","larvae",0
"243",2018-03-19,"spring","NEC","slough","FB250","ept",0
"244",2018-05-25,"spring","NEC","slough","FB250","flies",0
"245",2018-05-25,"spring","NEC","slough","FB250","boaters",4
"246",2018-05-25,"spring","NEC","slough","FB250","mites",0
"247",2018-05-25,"spring","NEC","slough","FB250","crustaceans",16
"248",2018-05-25,"spring","NEC","slough","FB250","worms",0
"249",2018-05-25,"spring","NEC","slough","FB250","mollusks",0
"250",2018-05-25,"spring","NEC","slough","FB250","beetles",0
"251",2018-05-25,"spring","NEC","slough","FB250","larvae",0
"252",2018-05-25,"spring","NEC","slough","FB250","ept",0
"253",2018-08-08,"summer","NEC","slough","FB250","flies",3
"254",2018-08-08,"summer","NEC","slough","FB250","boaters",10
"255",2018-08-08,"summer","NEC","slough","FB250","mites",0
"256",2018-08-08,"summer","NEC","slough","FB250","crustaceans",69
"257",2018-08-08,"summer","NEC","slough","FB250","worms",0
"258",2018-08-08,"summer","NEC","slough","FB250","mollusks",0
"259",2018-08-08,"summer","NEC","slough","FB250","beetles",0
"260",2018-08-08,"summer","NEC","slough","FB250","larvae",0
"261",2018-08-08,"summer","NEC","slough","FB250","ept",0
"262",2018-09-26,"fall","NEC","slough","FB250","flies",1
"263",2018-09-26,"fall","NEC","slough","FB250","boaters",1
"264",2018-09-26,"fall","NEC","slough","FB250","mites",0
"265",2018-09-26,"fall","NEC","slough","FB250","crustaceans",6
"266",2018-09-26,"fall","NEC","slough","FB250","worms",0
"267",2018-09-26,"fall","NEC","slough","FB250","mollusks",0
"268",2018-09-26,"fall","NEC","slough","FB250","beetles",0
"269",2018-09-26,"fall","NEC","slough","FB250","larvae",0
"270",2018-09-26,"fall","NEC","slough","FB250","ept",0
"271",2018-11-07,"fall","NEC","slough","FB250","flies",0
"272",2018-11-07,"fall","NEC","slough","FB250","boaters",19
"273",2018-11-07,"fall","NEC","slough","FB250","mites",0
"274",2018-11-07,"fall","NEC","slough","FB250","crustaceans",3
"275",2018-11-07,"fall","NEC","slough","FB250","worms",0
"276",2018-11-07,"fall","NEC","slough","FB250","mollusks",0
"277",2018-11-07,"fall","NEC","slough","FB250","beetles",0
"278",2018-11-07,"fall","NEC","slough","FB250","larvae",0
"279",2018-11-07,"fall","NEC","slough","FB250","ept",0
"280",2018-12-04,"winter","NEC","slough","FB250","flies",0
"281",2018-12-04,"winter","NEC","slough","FB250","boaters",0
"282",2018-12-04,"winter","NEC","slough","FB250","mites",0
"283",2018-12-04,"winter","NEC","slough","FB250","crustaceans",28
"284",2018-12-04,"winter","NEC","slough","FB250","worms",0
"285",2018-12-04,"winter","NEC","slough","FB250","mollusks",0
"286",2018-12-04,"winter","NEC","slough","FB250","beetles",0
"287",2018-12-04,"winter","NEC","slough","FB250","larvae",0
"288",2018-12-04,"winter","NEC","slough","FB250","ept",0
"289",2018-03-07,"spring","NMC","slough","FB250","flies",0
"290",2018-03-07,"spring","NMC","slough","FB250","boaters",0
"291",2018-03-07,"spring","NMC","slough","FB250","mites",0
"292",2018-03-07,"spring","NMC","slough","FB250","crustaceans",105
"293",2018-03-07,"spring","NMC","slough","FB250","worms",0
"294",2018-03-07,"spring","NMC","slough","FB250","mollusks",0
"295",2018-03-07,"spring","NMC","slough","FB250","beetles",0
"296",2018-03-07,"spring","NMC","slough","FB250","larvae",0
"297",2018-03-07,"spring","NMC","slough","FB250","ept",0
"298",2018-04-27,"spring","NMC","slough","FB250","flies",0
"299",2018-04-27,"spring","NMC","slough","FB250","boaters",1
"300",2018-04-27,"spring","NMC","slough","FB250","mites",0
"301",2018-04-27,"spring","NMC","slough","FB250","crustaceans",9
"302",2018-04-27,"spring","NMC","slough","FB250","worms",0
"303",2018-04-27,"spring","NMC","slough","FB250","mollusks",0
"304",2018-04-27,"spring","NMC","slough","FB250","beetles",0
"305",2018-04-27,"spring","NMC","slough","FB250","larvae",0
"306",2018-04-27,"spring","NMC","slough","FB250","ept",0
"307",2018-05-11,"spring","NMC","slough","FB250","flies",0
"308",2018-05-11,"spring","NMC","slough","FB250","boaters",2
"309",2018-05-11,"spring","NMC","slough","FB250","mites",0
"310",2018-05-11,"spring","NMC","slough","FB250","crustaceans",23
"311",2018-05-11,"spring","NMC","slough","FB250","worms",0
"312",2018-05-11,"spring","NMC","slough","FB250","mollusks",0
"313",2018-05-11,"spring","NMC","slough","FB250","beetles",0
"314",2018-05-11,"spring","NMC","slough","FB250","larvae",0
"315",2018-05-11,"spring","NMC","slough","FB250","ept",0
"316",2018-05-25,"spring","NMC","slough","FB250","flies",0
"317",2018-05-25,"spring","NMC","slough","FB250","boaters",1
"318",2018-05-25,"spring","NMC","slough","FB250","mites",0
"319",2018-05-25,"spring","NMC","slough","FB250","crustaceans",20
"320",2018-05-25,"spring","NMC","slough","FB250","worms",0
"321",2018-05-25,"spring","NMC","slough","FB250","mollusks",0
"322",2018-05-25,"spring","NMC","slough","FB250","beetles",0
"323",2018-05-25,"spring","NMC","slough","FB250","larvae",0
"324",2018-05-25,"spring","NMC","slough","FB250","ept",0
"325",2018-08-08,"summer","NMC","slough","FB250","flies",1
"326",2018-08-08,"summer","NMC","slough","FB250","boaters",0
"327",2018-08-08,"summer","NMC","slough","FB250","mites",0
"328",2018-08-08,"summer","NMC","slough","FB250","crustaceans",58
"329",2018-08-08,"summer","NMC","slough","FB250","worms",0
"330",2018-08-08,"summer","NMC","slough","FB250","mollusks",0
"331",2018-08-08,"summer","NMC","slough","FB250","beetles",0
"332",2018-08-08,"summer","NMC","slough","FB250","larvae",0
"333",2018-08-08,"summer","NMC","slough","FB250","ept",0
"334",2018-09-25,"fall","NMC","slough","FB250","flies",0
"335",2018-09-25,"fall","NMC","slough","FB250","boaters",0
"336",2018-09-25,"fall","NMC","slough","FB250","mites",0
"337",2018-09-25,"fall","NMC","slough","FB250","crustaceans",0
"338",2018-09-25,"fall","NMC","slough","FB250","worms",0
"339",2018-09-25,"fall","NMC","slough","FB250","mollusks",0
"340",2018-09-25,"fall","NMC","slough","FB250","beetles",0
"341",2018-09-25,"fall","NMC","slough","FB250","larvae",0
"342",2018-09-25,"fall","NMC","slough","FB250","ept",0
"343",2018-09-28,"fall","NMC","slough","FB250","flies",0
"344",2018-09-28,"fall","NMC","slough","FB250","boaters",0
"345",2018-09-28,"fall","NMC","slough","FB250","mites",0
"346",2018-09-28,"fall","NMC","slough","FB250","crustaceans",0
"347",2018-09-28,"fall","NMC","slough","FB250","worms",0
"348",2018-09-28,"fall","NMC","slough","FB250","mollusks",0
"349",2018-09-28,"fall","NMC","slough","FB250","beetles",0
"350",2018-09-28,"fall","NMC","slough","FB250","larvae",0
"351",2018-09-28,"fall","NMC","slough","FB250","ept",0
"352",2018-11-02,"fall","NMC","slough","FB250","flies",0
"353",2018-11-02,"fall","NMC","slough","FB250","boaters",6
"354",2018-11-02,"fall","NMC","slough","FB250","mites",0
"355",2018-11-02,"fall","NMC","slough","FB250","crustaceans",1
"356",2018-11-02,"fall","NMC","slough","FB250","worms",0
"357",2018-11-02,"fall","NMC","slough","FB250","mollusks",0
"358",2018-11-02,"fall","NMC","slough","FB250","beetles",0
"359",2018-11-02,"fall","NMC","slough","FB250","larvae",0
"360",2018-11-02,"fall","NMC","slough","FB250","ept",0
"361",2018-12-08,"winter","NMC","slough","FB250","flies",0
"362",2018-12-08,"winter","NMC","slough","FB250","boaters",3
"363",2018-12-08,"winter","NMC","slough","FB250","mites",0
"364",2018-12-08,"winter","NMC","slough","FB250","crustaceans",53
"365",2018-12-08,"winter","NMC","slough","FB250","worms",0
"366",2018-12-08,"winter","NMC","slough","FB250","mollusks",0
"367",2018-12-08,"winter","NMC","slough","FB250","beetles",0
"368",2018-12-08,"winter","NMC","slough","FB250","larvae",0
"369",2018-12-08,"winter","NMC","slough","FB250","ept",0
"370",2018-12-30,"winter","NMC","slough","FB250","flies",0
"371",2018-12-30,"winter","NMC","slough","FB250","boaters",3
"372",2018-12-30,"winter","NMC","slough","FB250","mites",0
"373",2018-12-30,"winter","NMC","slough","FB250","crustaceans",65
"374",2018-12-30,"winter","NMC","slough","FB250","worms",0
"375",2018-12-30,"winter","NMC","slough","FB250","mollusks",0
"376",2018-12-30,"winter","NMC","slough","FB250","beetles",0
"377",2018-12-30,"winter","NMC","slough","FB250","larvae",0
"378",2018-12-30,"winter","NMC","slough","FB250","ept",0
"379",2018-03-09,"spring","NPB","slough","FB250","flies",0
"380",2018-03-09,"spring","NPB","slough","FB250","boaters",1
"381",2018-03-09,"spring","NPB","slough","FB250","mites",0
"382",2018-03-09,"spring","NPB","slough","FB250","crustaceans",31
"383",2018-03-09,"spring","NPB","slough","FB250","worms",0
"384",2018-03-09,"spring","NPB","slough","FB250","mollusks",0
"385",2018-03-09,"spring","NPB","slough","FB250","beetles",0
"386",2018-03-09,"spring","NPB","slough","FB250","larvae",0
"387",2018-03-09,"spring","NPB","slough","FB250","ept",0
"388",2018-05-11,"spring","NPB","slough","FB250","flies",0
"389",2018-05-11,"spring","NPB","slough","FB250","boaters",2
"390",2018-05-11,"spring","NPB","slough","FB250","mites",0
"391",2018-05-11,"spring","NPB","slough","FB250","crustaceans",330
"392",2018-05-11,"spring","NPB","slough","FB250","worms",0
"393",2018-05-11,"spring","NPB","slough","FB250","mollusks",0
"394",2018-05-11,"spring","NPB","slough","FB250","beetles",0
"395",2018-05-11,"spring","NPB","slough","FB250","larvae",0
"396",2018-05-11,"spring","NPB","slough","FB250","ept",0
"397",2018-09-28,"fall","NPB","slough","FB250","flies",0
"398",2018-09-28,"fall","NPB","slough","FB250","boaters",0
"399",2018-09-28,"fall","NPB","slough","FB250","mites",0
"400",2018-09-28,"fall","NPB","slough","FB250","crustaceans",9
"401",2018-09-28,"fall","NPB","slough","FB250","worms",0
"402",2018-09-28,"fall","NPB","slough","FB250","mollusks",0
"403",2018-09-28,"fall","NPB","slough","FB250","beetles",0
"404",2018-09-28,"fall","NPB","slough","FB250","larvae",0
"405",2018-09-28,"fall","NPB","slough","FB250","ept",0
"406",2018-11-02,"fall","NPB","slough","FB250","flies",0
"407",2018-11-02,"fall","NPB","slough","FB250","boaters",8
"408",2018-11-02,"fall","NPB","slough","FB250","mites",0
"409",2018-11-02,"fall","NPB","slough","FB250","crustaceans",4
"410",2018-11-02,"fall","NPB","slough","FB250","worms",0
"411",2018-11-02,"fall","NPB","slough","FB250","mollusks",0
"412",2018-11-02,"fall","NPB","slough","FB250","beetles",0
"413",2018-11-02,"fall","NPB","slough","FB250","larvae",0
"414",2018-11-02,"fall","NPB","slough","FB250","ept",0
"415",2018-12-08,"winter","NPB","slough","FB250","flies",0
"416",2018-12-08,"winter","NPB","slough","FB250","boaters",2
"417",2018-12-08,"winter","NPB","slough","FB250","mites",0
"418",2018-12-08,"winter","NPB","slough","FB250","crustaceans",81
"419",2018-12-08,"winter","NPB","slough","FB250","worms",0
"420",2018-12-08,"winter","NPB","slough","FB250","mollusks",0
"421",2018-12-08,"winter","NPB","slough","FB250","beetles",0
"422",2018-12-08,"winter","NPB","slough","FB250","larvae",0
"423",2018-12-08,"winter","NPB","slough","FB250","ept",0
"424",2018-12-30,"winter","NPB","slough","FB250","flies",0
"425",2018-12-30,"winter","NPB","slough","FB250","boaters",1
"426",2018-12-30,"winter","NPB","slough","FB250","mites",0
"427",2018-12-30,"winter","NPB","slough","FB250","crustaceans",345
"428",2018-12-30,"winter","NPB","slough","FB250","worms",0
"429",2018-12-30,"winter","NPB","slough","FB250","mollusks",0
"430",2018-12-30,"winter","NPB","slough","FB250","beetles",0
"431",2018-12-30,"winter","NPB","slough","FB250","larvae",0
"432",2018-12-30,"winter","NPB","slough","FB250","ept",0
"433",2018-03-09,"spring","NVBR","slough","FB250","flies",0
"434",2018-03-09,"spring","NVBR","slough","FB250","boaters",4
"435",2018-03-09,"spring","NVBR","slough","FB250","mites",0
"436",2018-03-09,"spring","NVBR","slough","FB250","crustaceans",601
"437",2018-03-09,"spring","NVBR","slough","FB250","worms",0
"438",2018-03-09,"spring","NVBR","slough","FB250","mollusks",0
"439",2018-03-09,"spring","NVBR","slough","FB250","beetles",0
"440",2018-03-09,"spring","NVBR","slough","FB250","larvae",0
"441",2018-03-09,"spring","NVBR","slough","FB250","ept",0
"442",2018-04-11,"spring","NVBR","slough","FB250","flies",0
"443",2018-04-11,"spring","NVBR","slough","FB250","boaters",0
"444",2018-04-11,"spring","NVBR","slough","FB250","mites",0
"445",2018-04-11,"spring","NVBR","slough","FB250","crustaceans",116
"446",2018-04-11,"spring","NVBR","slough","FB250","worms",0
"447",2018-04-11,"spring","NVBR","slough","FB250","mollusks",0
"448",2018-04-11,"spring","NVBR","slough","FB250","beetles",0
